global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
1,United States,"799,500","1,002","5,843","13,043","1,790",918,"391,963","4,640","12,002                        						
							km","476,044,000                        						
							mt","548,849,000                        						
							Cu.M","19,924                        						
							km","$                        							22,303,546,100,000","170,549,000","15,873","124,816,644",0,"4,445,524","1,029,000,000,000                        						
							Cu.M",11,"4,168,037",0,9,8,440,70,"20,245,000                        						
							bbl","20,879,000                        						
							bbl","248,941,000,000                        						
							Cu.M","13,402,000,000,000                        						
							Cu.M","38,212,000,000                        						
							bbl","$                        							24,662,000,000,000","293,564                        						
							km","$                        							773,426,000,000","6,586,610                        						
							km","341,963,408","41,009                        						
							km"
2,China,"510,000",281,913,"3,309","1,212",289,"144,017","6,800","22,457                        						
							km","5,313,000,000                        						
							mt","4,827,000,000                        						
							Cu.M","14,500                        						
							km","$                        							1,218,458,500,000","779,246,000",531,"626,864,169","625,000","19,810,606","225,341,000,000                        						
							Cu.M",3,"2,857,143",47,4,36,754,61,"15,148,000                        						
							bbl","4,984,000                        						
							bbl","143,197,000,000                        						
							Cu.M","6,654,000,000,000                        						
							Cu.M","26,023,000,000                        						
							bbl","$                        							31,227,000,000,000","150,000                        						
							km","$                        							3,450,000,000,000","5,200,000                        						
							km","1,415,043,270","27,700                        						
							km"
3,Russia,"2,000,000",557,"1,651","4,292",833,456,"131,527","5,750","22,407                        						
							km","310,958,000                        						
							mt","508,190,000                        						
							Cu.M","37,653                        						
							km","$                        							317,650,500,000","72,408,000",904,"46,189,226","250,000","1,267,387","617,830,000,000                        						
							Cu.M",1,"1,260,447",12,0,47,419,63,"3,684,000                        						
							bbl","10,727,000                        						
							bbl","162,166,000,000                        						
							Cu.M","47,805,000,000,000                        						
							Cu.M","80,000,000,000                        						
							bbl","$                        							5,816,000,000,000","85,494                        						
							km","$                        							597,217,000,000","1,283,387                        						
							km","140,820,810","102,000                        						
							km"
4,India,"1,155,000",80,899,"2,229",513,270,"148,594","4,201","13,888                        						
							km","1,200,000,000                        						
							mt","985,671,000                        						
							Cu.M","7,000                        						
							km","$                        							371,020,500,000","593,729,000",311,"522,786,598","2,527,000","23,955,181","33,170,000,000                        						
							Cu.M",2,"593,603",14,0,0,293,18,"5,049,000                        						
							bbl","795,000                        						
							bbl","111,052,000,000                        						
							Cu.M","1,381,000,000,000                        						
							Cu.M","4,605,000,000                        						
							bbl","$                        							13,104,000,000,000","65,554                        						
							km","$                        							627,793,000,000","6,371,847                        						
							km","1,409,128,296","14,500                        						
							km"
5,Japan,"56,000",119,596,"1,443",217,55,"31,964",521,"0                        						
							km","216,332,000                        						
							mt","29,141,000                        						
							Cu.M","29,751                        						
							km","$                        							4,679,698,100,000","69,349,000",279,"42,874,277","25,000","1,108,818","2,220,000,000                        						
							Cu.M",0,"769,882",6,4,22,159,24,"3,289,000                        						
							bbl","8,000                        						
							bbl","350,000,000                        						
							Cu.M","20,898,000,000                        						
							Cu.M","44,115,000                        						
							bbl","$                        							5,761,000,000,000","27,311                        						
							km","$                        							1,295,000,000,000","1,218,772                        						
							km","123,201,945","1,770                        						
							km"
6,Brazil,"340,000",0,191,513,43,109,"22,464",294,"16,145                        						
							km","32,787,000                        						
							mt","15,644,000                        						
							Cu.M","7,491                        						
							km","$                        							432,224,000,000","108,695,000","4,919","88,680,759","200,000","3,520,824","22,670,000,000                        						
							Cu.M",0,"135,737",6,1,3,64,4,"3,027,000                        						
							bbl","4,221,000                        						
							bbl","6,596,000,000                        						
							Cu.M","363,985,000,000                        						
							Cu.M","12,715,000,000                        						
							bbl","$                        							4,016,000,000,000","29,850                        						
							km","$                        							355,021,000,000","2,000,000                        						
							km","220,051,512","50,000                        						
							km"
7,Iran,"350,000",13,128,551,188,87,"65,825","1,713","5,894                        						
							km","3,531,000                        						
							mt","2,791,000                        						
							Cu.M","2,440                        						
							km","$                        							4,134,926,000","29,159,000",173,"41,541,860","220,000","1,414,191","263,280,000,000                        						
							Cu.M",0,"223,395",7,0,1,107,25,"2,136,000                        						
							bbl","3,985,000                        						
							bbl","1,203,000,000                        						
							Cu.M","33,987,000,000,000                        						
							Cu.M","208,600,000,000                        						
							bbl","$                        							1,440,000,000,000","8,484                        						
							km","$                        							120,600,000,000","223,485                        						
							km","88,386,937","850                        						
							km"
8,South Korea,"3,100,000",111,807,"1,592",315,41,"58,880","2,236","237                        						
							km","136,413,000                        						
							mt","15,595,000                        						
							Cu.M","2,413                        						
							km","$                        							503,519,500,000","29,611,000",89,"21,353,538","120,000","416,654","55,127,000                        						
							Cu.M",0,"344,786",17,2,14,227,22,"2,452,000                        						
							bbl","38,000                        						
							bbl","326,000,000                        						
							Cu.M","7,079,000,000                        						
							Cu.M","0                        						
							bbl","$                        							2,615,000,000,000","3,979                        						
							km","$                        							420,930,000,000","100,428                        						
							km","52,081,799","1,600                        						
							km"
9,Canada,"27,000",0,145,351,66,28,"21,704",74,"8,893                        						
							km","17,138,000                        						
							mt","43,024,000                        						
							Cu.M","202,080                        						
							km","$                        							2,337,375,700,000","22,110,000","1,425","13,500,595","5,500","426,743","187,686,000,000                        						
							Cu.M",0,"119,637",12,0,0,73,4,"2,454,000                        						
							bbl","5,692,000                        						
							bbl","6,582,000,000                        						
							Cu.M","2,067,126,000,000                        						
							Cu.M","170,300,000,000                        						
							bbl","$                        							2,238,000,000,000","4,942                        						
							km","$                        							117,551,000,000","1,042,300                        						
							km","38,794,813","636                        						
							km"
10,Indonesia,"400,000",15,214,459,41,70,"20,440",331,"2,958                        						
							km","202,283,000                        						
							mt","659,357,000                        						
							Cu.M","54,716                        						
							km","$                        							440,000,000,000","140,931,000",513,"114,595,923","250,000","4,786,562","57,410,000,000                        						
							Cu.M",0,"304,168",7,0,12,331,4,"1,728,000                        						
							bbl","865,000                        						
							bbl","34,869,000,000                        						
							Cu.M","1,408,000,000,000                        						
							Cu.M","2,480,000,000                        						
							bbl","$                        							3,906,000,000,000","8,159                        						
							km","$                        							146,359,000,000","496,607                        						
							km","281,562,465","21,579                        						
							km"
11,France,"26,000",68,448,976,226,119,"110,932",215,"4,072                        						
							km","12,985,000                        						
							mt","2,419,000                        						
							Cu.M","4,853                        						
							km","$                        							6,992,104,900,000","31,825,000",689,"23,794,358","150,000","752,121","20,132,000                        						
							Cu.M",1,"428,765",11,3,17,129,9,"1,554,000                        						
							bbl","80,000                        						
							bbl","160,000,000                        						
							Cu.M","7,787,000,000                        						
							Cu.M","61,719,000                        						
							bbl","$                        							3,764,000,000,000","27,860                        						
							km","$                        							240,792,000,000","1,053,215                        						
							km","68,374,591","8,501                        						
							km"
12,Saudi Arabia,0,34,264,917,283,49,"19,040",840,"4,272                        						
							km","164,000                        						
							mt","0                        						
							Cu.M","2,640                        						
							km","$                        							225,610,000,000","16,934,000",86,"17,468,238","150,000","621,255","121,870,000,000                        						
							Cu.M",0,"49,727",7,0,3,32,0,"3,649,000                        						
							bbl","11,113,000                        						
							bbl","0                        						
							Cu.M","9,423,000,000,000                        						
							Cu.M","258,600,000,000                        						
							bbl","$                        							1,831,000,000,000","5,410                        						
							km","$                        							457,949,000,000","221,372                        						
							km","36,544,431","0                        						
							km"
13,Vietnam,"5,000,000",0,101,246,41,9,"11,912","1,374","4,616                        						
							km","83,116,000                        						
							mt","43,614,000                        						
							Cu.M","3,444                        						
							km","$                        							110,000,000,000","56,149,000",42,"45,053,323","250,000","1,797,903","7,676,000,000                        						
							Cu.M",0,"107,813",9,0,8,110,9,"494,000                        						
							bbl","187,000                        						
							bbl","3,360,000,000                        						
							Cu.M","699,426,000,000                        						
							Cu.M","4,400,000,000                        						
							bbl","$                        							1,354,000,000,000","2,600                        						
							km","$                        							97,955,500,000","195,468                        						
							km","105,758,975","47,130                        						
							km"
14,Egypt,"480,000",100,348,"1,093",238,61,"41,012","3,620","2,612                        						
							km","3,083,000                        						
							mt","289,000                        						
							Cu.M","2,450                        						
							km","$                        							103,750,000,000","33,431,000",73,"38,269,053","300,000","1,668,709","64,817,000,000                        						
							Cu.M",0,"235,989",13,2,17,150,8,"851,000                        						
							bbl","667,000                        						
							bbl","182,000,000                        						
							Cu.M","1,784,000,000,000                        						
							Cu.M","3,300,000,000                        						
							bbl","$                        							1,912,000,000,000","5,085                        						
							km","$                        							33,070,000,000","65,050                        						
							km","111,247,248","3,500                        						
							km"
15,Turkiye,"378,700",111,508,"1,083",201,84,"61,173","2,238","2,816                        						
							km","123,976,000                        						
							mt","88,746,000                        						
							Cu.M","7,200                        						
							km","$                        							294,441,000,000","35,071,000",115,"36,087,279","150,000","1,430,032","379,701,000                        						
							Cu.M",0,"325,729",17,1,11,182,13,"1,077,000                        						
							bbl","83,000                        						
							bbl","11,525,000,000                        						
							Cu.M","3,794,000,000                        						
							Cu.M","366,000,000                        						
							bbl","$                        							2,936,000,000,000","11,497                        						
							km","$                        							140,858,000,000","67,333                        						
							km","84,119,531","1,200                        						
							km"
16,Germany,"34,000",54,309,584,129,50,"83,260",296,"3,694                        						
							km","186,725,000                        						
							mt","138,981,000                        						
							Cu.M","2,389                        						
							km","$                        							6,238,609,300,000","44,784,000",838,"30,955,829",0,"841,191","4,824,000,000                        						
							Cu.M",0,"228,552",11,0,12,61,6,"2,052,000                        						
							bbl","131,000                        						
							bbl","35,900,000,000                        						
							Cu.M","23,390,000,000                        						
							Cu.M","115,200,000                        						
							bbl","$                        							5,230,000,000,000","39,379                        						
							km","$                        							322,700,000,000","830,000                        						
							km","84,119,100","7,300                        						
							km"
