global_rank,country_name,active-military-manpower,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-attack-types,aircraft-total-fighters,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-total-trainers,aircraft-total-transports,armor-apc-total,armor-mlrs-total,armor-self-propelled-guns-total,armor-tanks-total,armor-towed-artillery-total,available-military-manpower,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,defense-spending-budget,external-debt-by-country,labor-force-by-country,major-ports-and-terminals,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,merchant-marine-strength-by-country,natural-gas-consumption-by-country,natural-gas-production-by-country,navy-aircraft-carriers,navy-corvettes,navy-destroyers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-patrol-coastal-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,square-land-area,total-population-by-country,waterway-coverage
1,United States,1328000,799500,1002,5843,13043,889,1790,647,605,2647,918,391963,641,671,4640,1212,150463900,12002,476044000,548849000.0,19924,895000000000,22303546100000,170549000,666,15873,124816644,0,4445524,3533,914301000000.0,1029000000000.0,11,26,81,4168037.0,0,9,8,0,440,70,20245000,20879000,248941000000.0,13402000000000.0,38212000000,24662000000000,293564,773426000000,6586610,9833517,341963408,41009
2,China,2035000,510000,281,913,3309,371,1212,112,10,402,289,144017,2750,3490,6800,1000,764123366,22457,5313000000,4827000000.0,14500,266850000000,1218458500000,779246000,66,531,626864169,625000,19810606,8314,366160000000.0,225341000000.0,3,72,50,2857143.0,47,4,36,150,754,61,15148000,4984000,143197000000.0,6654000000000.0,26023000000,31227000000000,150000,3450000000000,5200000,9596960,1415043270,27700
3,Russia,1320000,2000000,557,1651,4292,689,833,141,19,611,456,131527,3005,5168,5750,8505,69002197,22407,310958000,508190000.0,37653,126000000000,317650500000,72408000,67,904,46189226,250000,1267387,2910,472239000000.0,617830000000.0,1,83,10,1260447.0,12,0,47,123,419,63,3684000,10727000,162166000000.0,47805000000000.0,80000000000,5816000000000,85494,597217000000,1283387,17098242,140820810,102000
4,India,1455550,1155000,80,899,2229,130,513,74,6,351,270,148594,264,100,4201,3975,662290299,13888,1200000000,985671000.0,7000,75000000000,371020500000,593729000,56,311,522786598,2527000,23955181,1859,58867000000.0,33170000000.0,2,18,13,593603.0,14,0,0,135,293,18,5049000,795000,111052000000.0,1381000000000.0,4605000000,13104000000000,65554,627793000000,6371847,3287263,1409128296,14500
5,Indonesia,400000,400000,15,214,459,34,41,17,1,112,70,20440,63,153,331,396,137965608,2958,202283000,659357000.0,54716,10600000000,440000000000,140931000,123,513,114595923,250000,4786562,11422,36061000000.0,57410000000.0,0,25,0,304168.0,7,0,12,211,331,4,1728000,865000,34869000000.0,1408000000000.0,2480000000,3906000000000,8159,146359000000,496607,1904569,281562465,21579
6,South Korea,600000,3100000,111,807,1592,98,315,36,4,318,41,58880,426,3270,2236,4400,26040900,237,136413000,15595000.0,2413,46300000000,503519500000,29611000,15,89,21353538,120000,416654,2149,59480000000.0,55127000.0,0,5,13,344786.0,17,2,14,35,227,22,2452000,38000,326000000.0,7079000000.0,0,2615000000000,3979,420930000000,100428,99720,52081799,1600
7,Japan,247150,56000,119,596,1443,38,217,141,10,401,55,31964,54,149,521,480,52976836,0,216332000,29141000.0,29751,57000000000,4679698100000,69349000,163,279,42874277,25000,1108818,5229,92843000000.0,2220000000.0,0,0,42,769882.0,6,4,22,6,159,24,3289000,8000,350000000.0,20898000000.0,44115000,5761000000000,27311,1295000000000,1218772,377915,123201945,1770
8,Iran,610000,350000,13,128,551,21,188,10,6,103,87,65825,1517,392,1713,2070,49496685,5894,3531000,2791000.0,2440,15450000000,4134926000,29159000,18,173,41541860,220000,1414191,965,244890000000.0,263280000000.0,0,3,0,223395.0,7,0,1,21,107,25,2136000,3985000,1203000000.0,33987000000000.0,208600000000,1440000000000,8484,120600000000,223485,1648195,88386937,850
9,Brazil,360000,340000,0,191,513,38,43,25,0,133,109,22464,38,109,294,412,112226271,16145,32787000,15644000.0,7491,26157300000,432224000000,108695000,45,4919,88680759,200000,3520824,888,31654000000.0,22670000000.0,0,2,0,135737.0,6,1,3,23,64,4,3027000,4221000,6596000000.0,363985000000.0,12715000000,4016000000000,29850,355021000000,2000000,8515770,220051512,50000
10,Canada,68000,27000,0,145,351,0,66,33,6,95,28,21704,0,0,74,0,16681770,8893,17138000,43024000.0,202080,41000000000,2337375700000,22110000,284,1425,13500595,5500,426743,716,130316000000.0,187686000000.0,0,0,0,119637.0,12,0,0,24,73,4,2454000,5692000,6582000000.0,2067126000000.0,170300000000,2238000000000,4942,117551000000,1042300,9984670,38794813,636
11,Pakistan,654000,550000,57,373,1399,90,328,27,4,565,64,17516,600,662,2627,2629,108516336,7257,34027000,12712000.0,1046,7640000000,92426000000,80990000,3,116,85803614,500000,4794908,60,46448000000.0,36937000000.0,0,9,0,111715.0,9,0,3,69,121,8,473000,101000,3064000000.0,592219000000.0,540000000,1347000000000,11881,13730000000,264175,796095,252363571,0
12,Egypt,440000,480000,100,348,1093,90,238,11,0,345,61,41012,528,1056,3620,962,45611372,2612,3083000,289000.0,2450,5879500000,103750000000,33431000,31,73,38269053,300000,1668709,441,60089000000.0,64817000000.0,0,7,0,235989.0,13,2,17,62,150,8,851000,667000,182000000.0,1784000000000.0,3300000000,1912000000000,5085,33070000000,65050,1001450,111247248,3500
13,Turkiye,355200,378700,111,508,1083,0,201,28,7,287,84,61173,296,1038,2238,1707,42985080,2816,123976000,88746000.0,7200,47000000000,294441000000,35071000,54,115,36087279,150000,1430032,1170,2887000000.0,379701000.0,0,9,0,325729.0,17,1,11,41,182,13,1077000,83000,11525000000.0,3794000000.0,366000000,2936000000000,11497,140858000000,67333,783562,84119531,1200
14,North Korea,1320000,560000,20,205,861,114,368,0,0,173,1,18288,1500,1300,4344,700,9467520,1607,21747000,21747000.0,2495,4736000000,5500000000,15837000,10,83,5312331,100000,420779,264,0.0,0.0,0,4,0,143304.0,2,0,1,155,207,13,17000,0,10600000000.0,0.0,0,72000000000,7435,5500000000,25554,120538,26298666,2250
15,Vietnam,600000,5000000,0,101,246,32,41,3,0,60,9,11912,474,40,1374,535,54994667,4616,83116000,43614000.0,3444,8594000000,110000000000,56149000,16,42,45053323,250000,1797903,1973,7676000000.0,7676000000.0,0,16,0,107813.0,9,0,8,35,110,9,494000,187000,3360000000.0,699426000000.0,4400000000,1354000000000,2600,97955500000,195468,331210,105758975,47130
16,Saudi Arabia,257000,0,34,264,917,81,283,16,22,202,49,19040,321,332,840,467,19003104,4272,164000,0.0,2640,74760000000,225610000000,16934000,16,86,17468238,150000,621255,433,121870000000.0,121870000000.0,0,9,0,49727.0,7,0,3,9,32,0,3649000,11113000,0.0,9423000000000.0,258600000000,1831000000000,5410,457949000000,221372,2149690,36544431,0
17,France,200000,26000,68,448,976,0,226,44,16,141,119,110932,9,96,215,0,30084820,4072,12985000,2419000.0,4853,55000000000,6992104900000,31825000,66,689,23794358,150000,752121,553,37001000000.0,20132000.0,1,0,11,428765.0,11,3,17,20,129,9,1554000,80000,160000000.0,7787000000.0,61719000,3764000000000,27860,240792000000,1053215,643801,68374591,8501
18,United Kingdom,184860,924000,37,266,631,31,113,28,9,203,29,38200,29,71,227,126,31491165,443,8568000,1891000.0,12429,71500540000,9593749000000,35275000,185,1043,25192932,0,753050,868,70141000000.0,37758000000.0,2,0,6,394043.0,8,0,7,26,109,9,1397000,753000,26000000.0,180661000000.0,2500000000,3700000000000,16390,177915000000,394428,243610,68459055,3200
19,Australia,57350,32050,22,69,327,62,24,30,6,98,38,15648,0,0,59,48,11242811,0,107624000,465865000.0,25760,55700000000,3427504300000,14501000,66,2180,9208398,0,294455,604,50188000000.0,153783000000.0,0,0,3,185648.0,7,2,3,10,44,6,1123000,386000,150227000000.0,3228000000000.0,2446000000,1584000000000,36064,61703000000,873573,7741220,26768598,2000
20,Germany,181600,34000,54,309,584,63,129,26,3,35,50,83260,33,134,296,0,38694786,3694,186725000,138981000.0,2389,50000000000,6238609300000,44784000,35,838,30955829,0,841191,595,77516000000.0,4824000000.0,0,5,0,228552.0,11,0,12,0,61,6,2052000,131000,35900000000.0,23390000000.0,115200000,5230000000000,39379,322700000000,830000,357022,84119100,7300
21,Taiwan,215000,2310000,91,236,761,0,285,18,0,232,19,19921,234,488,888,1360,12269542,0,66855000,5608000.0,1566,19740000000,209000000000,11498000,8,53,1061787,55000,306739,465,21157000000.0,63747000.0,0,7,4,250414.0,22,0,14,37,97,4,1022000,800,1000000.0,6230000000.0,2380000,1257300000000,1613,492635000000,43206,35980,23595274,0
22,Bangladesh,163000,0,0,65,214,0,42,4,0,86,17,11584,110,56,320,546,82661620,4413,7514000,754000.0,580,4374000000,51965000000,74914000,2,17,66129296,6800000,3205246,558,30384000000.0,24620000000.0,0,6,0,75280.0,7,0,5,61,118,2,160000,13000,3260000000.0,126293000000.0,28000000,1413000000000,2460,21860000000,369105,148460,168697184,8370
23,Mexico,412000,98655,0,178,433,33,3,25,0,176,41,19658,0,20,0,70,61447766,4389,18423000,7453000.0,9330,7600000000,371359000000,60042000,35,1485,49811912,120000,2222579,674,90566000000.0,31422000000.0,0,3,5,124962.0,1,0,0,140,167,0,1737000,2101000,1211000000.0,180322000000.0,5786000000,2873000000000,23389,214317000000,704884,1964375,130739927,2900
24,Italy,165500,18500,37,392,729,67,89,23,8,162,30,73480,21,64,200,108,27434219,1836,13127000,1618000.0,7600,30890000000,2750000000000,25669000,123,636,22191235,105000,548684,1276,68735000000.0,3117000000.0,2,0,3,359417.0,10,0,10,19,196,8,1246000,116000,609999000.0,45750000000.0,497934000,3097000000000,18475,247396000000,487700,301340,60964931,2400
25,Colombia,293200,35000,0,257,436,24,16,23,1,72,86,3460,0,6,0,110,24298295,6672,7880000,58747000.0,3208,10541500000,116779500000,26003000,14,662,19190694,150000,843002,153,11451000000.0,11290000000.0,0,2,0,31090.0,7,0,0,217,233,4,320000,800000,4554000000.0,87782000000.0,2036000000,978024000000,2141,59041000000,205379,1138910,49588357,24725
26,Algeria,325000,135000,74,299,608,42,102,10,5,87,63,26000,266,224,1485,483,22570787,6734,167000,0.0,998,25000000000,3335624000,13425000,17,85,19185169,150000,752360,119,47963000000.0,100726000000.0,0,8,0,82880.0,8,0,2,75,110,6,428000,1443000,233000000.0,4504000000000.0,12200000000,699947000000,4020,81217000000,104000,2381740,47022473,0
27,Thailand,360850,200000,7,258,493,20,72,26,0,135,54,16935,26,50,635,589,36358919,5673,36030000,13642000.0,3219,5887883500,102694000000,40814000,21,108,27968399,25000,1118736,884,48898000000.0,30797000000.0,0,6,0,130988.0,7,1,5,49,293,0,1248000,386000,1063000000.0,138243000000.0,252750000,1516000000000,4127,224470000000,180053,513120,69920998,4000
28,Nigeria,230000,0,15,66,163,24,14,11,0,28,23,8962,37,40,330,339,125475979,4477,3044000,3043000.0,853,3160000000,32455500000,75721000,28,47,90437404,50000,4261448,928,20719000000.0,39951000000.0,0,0,0,124962.0,1,0,2,109,133,0,515000,1541000,2144000000.0,5761000000000.0,36890000000,1275000000000,3798,41349000000,195000,923768,236747130,8600
29,Ukraine,900000,1200000,39,136,324,36,70,3,0,73,24,18920,279,658,1114,615,18187531,5581,10953000,4248000.0,2782,53700000000,132000000000,20312000,26,148,12731272,100000,392280,410,22856000000.0,18725000000.0,0,0,0,28138.0,0,0,3,33,89,0,248000,3000,34375000000.0,1104000000000.0,395000000,559981000000,21733,40510000000,169694,603550,35661826,1672
