Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km
United States,341963408,1328000,799500,0,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,11,9,70,81,0,26,0,8,895000000000,24662000000000,773426000000,15873,666,293564,6586610
Russia,140820810,1320000,2000000,250000,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1,0,63,10,12,83,123,47,126000000000,5816000000000,597217000000,904,67,85494,1283387
China,1415043270,2035000,510000,625000,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,3,4,61,50,47,72,150,36,266850000000,31227000000000,3450000000000,531,66,150000,5200000
India,1409128296,1455550,1155000,2527000,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,2,0,18,13,14,18,135,0,75000000000,13104000000000,627793000000,311,56,65554,6371847
South Korea,52081799,600000,3100000,120000,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,0,2,22,13,17,5,35,14,46300000000,2615000000000,420930000000,89,15,3979,100428
United Kingdom,68459055,184860,924000,0,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,2,0,9,6,8,0,26,7,71500540000,3700000000000,177915000000,1043,185,16390,394428
France,68374591,200000,26000,150000,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,1,3,9,11,11,0,20,17,55000000000,3764000000000,240792000000,689,66,27860,1053215
Japan,123201945,247150,56000,25000,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,0,4,24,42,6,0,6,22,57000000000,5761000000000,1295000000000,279,163,27311,1218772
Turkiye,84119531,355200,378700,150000,1083,201,0,84,287,28,7,508,111,2238,61173,1038,1707,296,182,0,1,13,0,17,9,41,11,47000000000,2936000000000,140858000000,115,54,11497,67333
Italy,60964931,165500,18500,105000,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,2,0,8,3,10,0,19,10,30890000000,3097000000000,247396000000,636,123,18475,487700
Brazil,220051512,360000,340000,200000,513,43,38,109,133,25,0,191,0,294,22464,109,412,38,64,0,1,4,0,6,2,23,3,26157300000,4016000000000,355021000000,4919,45,29850,2000000
Pakistan,252363571,654000,550000,500000,1399,328,90,64,565,27,4,373,57,2627,17516,662,2629,600,121,0,0,8,0,9,9,69,3,7640000000,1347000000000,13730000000,116,3,11881,264175
Indonesia,281562465,400000,400000,250000,459,41,34,70,112,17,1,214,15,331,20440,153,396,63,331,0,0,4,0,7,25,211,12,10600000000,3906000000000,146359000000,513,123,8159,496607
Germany,84119100,181600,34000,0,584,129,63,50,35,26,3,309,54,296,83260,134,0,33,61,0,0,6,0,11,5,0,12,50000000000,5230000000000,322700000000,838,35,39379,830000
Israel,9402617,170000,465000,35000,611,240,38,13,159,19,14,147,48,1300,35985,352,171,183,62,0,0,5,0,0,7,46,0,30500000000,471030000000,204661000000,37,5,1497,20391
Iran,88386937,610000,350000,220000,551,188,21,87,103,10,6,128,13,1713,65825,392,2070,1517,107,0,0,25,0,7,3,21,1,15450000000,1440000000000,120600000000,173,18,8484,223485
Spain,47280433,133282,15150,78470,461,137,12,51,140,8,0,153,17,317,17626,95,287,0,152,1,0,2,0,11,0,22,6,23397000000,2242000000000,103089000000,363,52,15489,683175
Australia,26768598,57350,32050,0,327,24,62,38,98,30,6,69,22,59,15648,0,48,0,44,0,2,6,3,7,0,10,3,55700000000,1584000000000,61703000000,2180,66,36064,873573
Egypt,111247248,440000,480000,300000,1093,238,90,61,345,11,0,348,100,3620,41012,1056,962,528,150,0,2,8,0,13,7,62,17,5879500000,1912000000000,33070000000,73,31,5085,65050
Ukraine,35661826,900000,1200000,100000,324,70,36,24,73,3,0,136,39,1114,18920,658,615,279,89,0,0,0,0,0,0,33,3,53700000000,559981000000,40510000000,148,26,21733,169694
Poland,38746310,202100,350000,50000,479,59,44,49,105,11,0,216,29,614,23138,677,0,196,62,0,0,1,0,2,2,3,26,48700000000,1616000000000,193783000000,288,10,19461,420000
Taiwan,23595274,215000,2310000,55000,761,285,0,19,232,18,0,236,91,888,19921,488,1360,234,97,0,0,4,4,22,7,37,14,19740000000,1257300000000,492635000000,53,8,1613,43206
Vietnam,105758975,600000,5000000,250000,246,41,32,9,60,3,0,101,0,1374,11912,40,535,474,110,0,0,9,0,9,16,35,8,8594000000,1354000000000,97955500000,42,16,2600,195468
Saudi Arabia,36544431,257000,0,150000,917,283,81,49,202,16,22,264,34,840,19040,332,467,321,32,0,0,0,0,7,9,9,3,74760000000,1831000000000,457949000000,86,16,5410,221372
Thailand,69920998,360850,200000,25000,493,72,20,54,135,26,0,258,7,635,16935,50,589,26,293,0,1,0,0,7,6,49,5,5887883500,1516000000000,224470000000,108,21,4127,180053
Algeria,47022473,325000,135000,150000,608,102,42,63,87,10,5,299,74,1485,26000,224,483,266,110,0,0,6,0,8,8,75,2,25000000000,699947000000,81217000000,85,17,4020,104000
Sweden,10589835,24400,32900,25000,169,71,0,6,33,5,1,53,0,110,6795,26,0,0,308,0,0,4,0,0,7,179,8,13000000000,676353000000,60863000000,203,92,10910,573134
Canada,38794813,68000,27000,5500,351,66,0,28,95,33,6,145,0,74,21704,0,0,0,73,0,0,4,0,12,0,24,0,41000000000,2238000000000,117551000000,1425,284,4942,1042300
Singapore,6028459,51000,252500,12000,230,100,0,9,36,9,11,70,18,170,8998,48,89,24,50,0,0,6,0,6,6,12,4,15000000000,754758000000,359835000000,9,5,0,3500
Greece,10461091,142700,221350,55000,558,178,0,15,81,8,0,293,29,1344,61888,589,698,152,192,0,0,10,0,13,0,39,7,6500000000,375780000000,13608000000,81,57,2345,117000
Nigeria,236747130,230000,0,50000,163,14,24,23,28,11,0,66,15,330,8962,40,339,37,133,0,0,0,0,1,0,109,2,3160000000,1275000000000,41349000000,47,28,3798,195000
Mexico,130739927,412000,98655,120000,433,3,33,41,176,25,0,178,0,0,19658,20,70,0,167,0,0,0,5,1,3,140,0,7600000000,2873000000000,214317000000,1485,35,23389,704884
Argentina,46994384,108000,0,20000,239,23,11,52,71,13,2,94,0,342,21724,55,172,26,44,0,0,2,3,0,6,13,0,928897000,1235000000000,23081000000,756,37,17866,281290
North Korea,26298666,1320000,560000,100000,861,368,114,1,173,0,0,205,20,4344,18288,1300,700,1500,207,0,0,13,0,2,4,155,1,4736000000,72000000000,5500000000,83,10,7435,25554
Bangladesh,168697184,163000,0,6800000,214,42,0,17,86,4,0,65,0,320,11584,56,546,110,118,0,0,2,0,7,6,61,5,4374000000,1413000000000,21860000000,17,2,2460,369105
Netherlands,17772378,41380,6765,5000,120,32,0,4,21,0,0,63,12,18,2755,46,0,2,64,0,0,3,0,6,0,4,4,27000000000,1240000000000,69830000000,45,18,3055,139124
Myanmar,57527139,150000,20000,55000,317,58,26,30,119,5,0,83,9,445,5980,95,210,180,232,0,0,3,0,6,3,146,2,2948000000,290507000000,8590400000,73,7,5031,157000
Norway,5509733,23250,0,40000,97,0,32,4,23,5,0,33,0,44,6552,42,0,0,43,0,0,6,0,4,6,18,5,9710000000,499528000000,80459000000,145,141,3848,94902
Portugal,10639726,24000,211700,24700,115,28,0,19,23,14,3,31,0,34,10828,24,115,0,194,0,0,2,0,5,2,20,0,4627000000,529901000000,53710000000,136,18,3622,136635
South Africa,60442647,71235,29350,50000,182,2,0,12,81,0,0,87,10,252,18692,49,134,101,49,0,0,3,0,4,0,33,2,2266800000,862981000000,62492000000,575,8,20986,750000
Philippines,118277063,150000,1200000,35000,202,0,25,26,23,8,0,122,2,10,11878,12,294,0,113,0,0,0,0,2,1,58,0,4380000000,1138000000000,103742000000,246,70,77,216387
Malaysia,34564810,113000,51600,100000,135,26,12,16,31,6,4,45,0,48,13506,0,196,36,100,0,0,2,0,2,6,71,4,4800000000,1152000000000,113438000000,102,35,1851,144403
Iraq,42083436,193000,0,100000,391,26,36,15,139,17,0,197,39,1025,37288,434,610,572,68,0,0,0,0,0,2,26,0,7923000000,572939000000,112233000000,71,6,2272,59623
Switzerland,8860574,101584,49715,5000,146,43,0,16,44,3,0,40,0,205,6996,133,0,0,0,0,0,0,0,0,0,0,0,25039000000,733779000000,863892000000,62,0,5296,71557
Denmark,5973136,20000,12000,51000,117,31,4,4,41,3,0,34,0,44,3856,19,0,8,50,0,0,0,0,9,0,9,6,7225466250,428385000000,109371000000,99,69,2682,74558
Colombia,49588357,293200,35000,150000,436,16,24,86,72,23,1,257,0,0,3460,6,110,0,233,0,0,4,0,7,2,217,0,10541500000,978024000000,59041000000,662,14,2141,205379
Chile,18664652,80000,40000,50000,277,45,0,32,92,21,5,87,0,386,8832,48,249,8,130,0,0,4,0,8,0,40,0,5032500000,579201000000,46377000000,374,39,7282,77801
Finland,5626414,24000,870000,53800,163,54,0,11,77,1,0,27,0,200,11704,107,667,76,264,0,0,0,0,0,0,8,18,6779661000,321126000000,16929000000,98,37,5918,454000
Peru,32600249,120000,385000,60000,256,15,22,38,72,12,0,111,16,240,6560,12,290,49,71,0,0,4,0,7,8,13,0,3420000000,517644000000,71394000000,166,20,1855,18699
Venezuela,31250306,109000,8000,220000,229,30,0,49,75,3,1,88,10,172,8802,48,100,36,34,0,0,1,0,1,0,25,0,4093120000,295974800000,10095500000,502,31,447,96189
Romania,18148155,81300,55000,15000,140,21,0,14,44,2,0,65,0,328,10774,0,720,243,20,0,0,0,0,3,7,3,5,9700000000,772107000000,73000000000,82,11,10628,84185
Ethiopia,118550298,162000,0,0,103,25,0,8,34,0,0,33,7,338,7256,35,309,40,0,0,0,0,0,0,0,0,0,2097575000,354604000000,3131288000,57,0,659,120171
Czechia,10837890,28000,4200,0,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,0,0,0,0,0,0,0,0,6750000000,519007000000,148379000000,243,0,9548,55744
United Arab Emirates,10032213,65000,130000,12000,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,0,0,0,0,0,11,34,2,2212360382,719733000000,189491000000,42,20,0,4080
Hungary,9855745,41600,20000,15000,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,0,0,0,0,0,0,0,0,4576000000,388906000000,45719000000,109,0,7687,203601
Angola,37202061,107000,0,10000,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,0,0,0,0,0,0,29,0,1101360000,265868000000,13942000000,106,21,2761,26000
Kazakhstan,20260006,110000,135000,55000,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,0,0,0,0,0,0,23,2,2048700000,705520000000,35965000000,132,0,16636,96167
Uzbekistan,36520593,48000,0,20000,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,0,0,0,0,0,0,0,0,2803500000,319174000000,34558000000,74,0,4642,86496
Morocco,37387585,195800,150000,50000,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,0,0,0,0,6,1,105,0,13400000000,337480000000,36328000000,49,12,2067,57300
Azerbaijan,10650239,126400,300000,15000,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,0,0,4,0,0,0,17,4,5000000000,215896000000,13749000000,32,0,2944,24981
Belgium,11977634,25000,6400,0,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,0,0,0,0,2,0,2,5,10200000000,751592000000,40813000000,49,7,3602,118414
Bulgaria,6782659,37000,3000,0,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,0,0,0,0,4,3,0,10,1373232000,214061000000,46334000000,111,2,4029,19512
Serbia,6652212,25000,2000,600000,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,0,0,0,0,0,0,7,5,2287461000,162213000000,27569000000,43,0,3333,44248
Syria,23865423,170000,50000,50000,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,0,0,0,0,0,0,16,4,291850000,55935900000,341962500,39,3,2052,69873
Ecuador,18309984,41250,118000,1500,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,0,0,2,0,2,6,5,0,2376000000,260213000000,4442000000,310,6,965,43950
Democratic Republic of the Congo,115403027,166580,31000,10000,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,0,0,0,0,0,0,16,0,796560000,154012000000,3898125000,272,3,4007,152373
Cuba,10966038,45500,40000,1145000,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,0,0,0,0,1,1,6,4,4508784000,141400000000,10442000000,123,34,8367,60000
Austria,8967982,16000,125600,0,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,0,0,0,0,0,0,0,0,5475750000,590354000000,31212000000,61,0,6123,137039
Sri Lanka,21982608,346000,90000,0,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,0,0,0,0,5,0,59,0,1265400000,287132000000,3450700000,18,6,1562,114093
Belarus,9501451,63000,145000,55000,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,0,0,0,0,0,0,0,0,1077900000,254407000000,8118000000,46,0,5528,86600
Slovakia,5563649,19500,0,0,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,0,0,0,0,0,0,0,0,2656000000,213053000000,11288000000,114,0,3627,56926
Qatar,2552088,66550,15000,5500,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,0,0,0,0,0,4,105,0,9432000000,304973000000,51539000000,8,6,0,7039
Sudan,50467278,92000,85000,17500,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,0,0,0,0,0,0,6,0,342000000,136039000000,206763700,41,4,7251,31000
Croatia,4150116,14325,20100,2000,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,0,0,0,0,0,0,10,1,1176000000,159305000000,3176000000,40,16,2617,26958
Jordan,11174024,100500,65000,35000,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,0,0,0,0,0,0,27,0,2500000000,106806000000,15715600000,17,1,509,7203
Libya,7361263,32000,0,100000,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,0,0,0,0,0,1,1,1,3060000000,121951000000,92427000000,66,14,2000,37000
Turkmenistan,5744151,36500,0,3500,91,24,27,5,9,0,0,26,10,654,5016,73,450,164,16,0,0,0,0,0,0,16,0,1078020000,94790000000,23415400000,23,0,5113,58592
Albania,3107100,6600,2000,500,19,0,0,0,0,0,0,19,0,46,1796,0,50,135,19,0,0,0,0,0,0,19,0,558862420,49592000000,6455000000,3,3,424,3945
Kuwait,3138355,72000,24000,7500,128,43,0,2,13,0,3,67,16,367,5636,74,0,27,123,0,0,0,0,0,0,106,0,6950000000,219060000000,52619000000,6,6,0,5749
Bolivia,12311974,40000,40000,0,64,0,0,15,19,0,0,33,0,54,890,0,106,0,67,0,0,0,0,0,0,50,0,550200000,119785000000,1800000000,200,0,3690,90568
Bahrain,1566888,18400,110000,1500,132,24,0,3,40,0,0,80,34,150,2764,38,26,17,64,0,0,0,0,2,2,50,0,1597200000,85491000000,5118000000,3,4,0,4122
Oman,3901992,42600,100000,10000,128,29,10,9,45,4,0,31,0,150,4084,24,140,0,22,0,0,0,0,0,5,12,0,8200000000,185960000000,17455000000,36,7,0,60230
Kenya,58246378,50000,0,25000,156,17,0,21,31,2,0,85,2,188,4128,18,53,0,23,0,0,0,0,0,0,7,0,1307383850,314063000000,7342000000,370,4,3819,161452
Chad,19093595,33250,0,5000,40,0,7,7,8,2,0,16,3,90,3316,10,10,20,0,0,0,0,0,0,0,0,0,381350000,32446000000,211591000,42,0,0,40000
Yemen,32140443,66700,0,20000,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,0,0,0,0,0,1,12,1,810375000,67003300000,923361750,36,10,0,71300
New Zealand,5161211,8670,3250,300,48,0,0,8,13,6,0,21,0,0,2114,0,31,0,8,0,0,0,0,2,0,4,0,3030000000,254770000000,15487000000,202,22,4128,94000
Paraguay,7522549,15650,168500,15000,39,0,0,11,13,1,0,14,0,0,1108,0,25,0,72,0,0,0,0,0,0,63,0,17595000000,108022000000,9886000000,83,1,30,78811
