country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Afghanistan,0,0,5202,0,1,5987,1545000,4885000,0,0,0,290000000,0,1142500000,0,8826741,8852092000,0,0,8921000,0,0,80200000,80200000,2700,0,80000,842553,66000000,49554000000,0,54772700000,0,0,34903,0,0,0,0,0,0,652230,0,9,6,15647405,0,40121552,67,0,0,3,1200
Albania,6600,0,1796,0,0,691,389000,379000,19,362,0,558862420,0,7312000000,0,1292554,6455000000,0,0,1388000,3,0,50623000,50623000,2600,1400,500,62142,522000000,5692000000,150000000,49592000000,424,2000,3945,135,0,0,0,0,46,28748,67,19,19,1522479,19,3107100,3,50,0,0,41
Algeria,325000,0,26000,42,74,6734,167000,0,75,998,8,25000000000,0,3335624000,102,19185169,81217000000,8,0,13425000,17,2,47963000000,1.00726E+11,428000,1443000,150000,752360,233000000,4.504E+12,12200000000,6.99947E+11,4020,135000,104000,266,224,10,6,5,1485,2381740,119,608,299,22570787,110,47022473,85,483,87,63,0
Angola,107000,0,5500,12,15,5369,0,0,29,1600,0,1101360000,0,45774500000,71,3720206,13942000000,0,0,15223000,21,0,1397000000,5514000000,127000,1175000,10000,372021,0,3.43002E+11,7783000000,2.65868E+11,2761,0,26000,113,25,2,0,0,309,1246700,64,298,116,7440412,31,37202061,106,575,66,31,1300
Argentina,108000,0,21724,11,0,11968,3391000,1318000,13,4989,6,928897000,3,1.7894E+11,23,17575900,23081000000,0,0,21906000,37,0,46228000000,43280000000,706000,807000,20000,704916,799999000,3.96464E+11,2483000000,1.235E+12,17866,0,281290,26,55,13,2,2,342,2780400,201,239,94,20677529,44,46994384,756,172,71,52,11000
Armenia,57500,0,1306,15,20,1570,23000,60,0,0,0,1700000000,0,9014000000,4,1366335,3607000000,0,0,1356000,0,0,2861000000,0,14000,0,5000,44651,317000000,0,0,57728000000,686,210000,7700,100,145,0,0,0,109,29743,0,71,36,1666988,0,2976765,11,148,13,3,0
Australia,57350,0,15648,62,22,0,107624000,465865000,10,25760,0,55700000000,3,3.4275E+12,24,9208398,61703000000,7,2,14501000,66,3,50188000000,1.53783E+11,1123000,386000,0,294455,1.50227E+11,3.228E+12,2446000000,1.584E+12,36064,32050,873573,0,0,30,6,6,59,7741220,604,327,69,11242811,44,26768598,2180,48,98,38,2000
Austria,16000,0,7322,0,0,2524,5026000,1271000,0,0,0,5475750000,0,6.3E+11,15,3632033,31212000000,0,0,4825000,0,0,8136000000,618209000,245000,18000,0,98648,0,5040000000,35200000,5.90354E+11,6123,125600,137039,0,30,0,0,0,56,83871,1,85,41,4035592,0,8967982,61,0,18,11,358
Azerbaijan,126400,0,7642,18,16,2468,60000,0,17,713,0,5000000000,0,16159500000,12,3908638,13749000000,0,0,5473000,0,4,11759000000,34175000000,105000,618000,15000,159754,0,1.699E+12,7000000000,2.15896E+11,2944,300000,24981,268,198,0,4,0,497,86600,312,154,86,5218617,38,10650239,32,650,35,3,0
Bahrain,18400,0,2764,0,34,0,0,0,50,161,2,1597200000,0,49500000000,24,720768,5118000000,2,0,855000,4,0,17924000000,18005000000,72000,189000,1500,17236,0,81382000000,186500000,85491000000,0,110000,4122,17,38,0,0,0,150,760,184,132,80,846120,64,1566888,3,26,40,3,0
