fighterJS,attackJS,transportJS,trainerJS,specialJS,tankerJS,helicopterJS,attackheloJS,tanksJS,afvJS,spgJS,artilleryJS,mlrsJS,accarrierJS,helocarrierJS,destroyerJS,frigateJS,corvetteJS,subJS,patrolJS,mineJS,Country
178.0,0.0,15.0,81.0,8.0,0.0,293.0,29.0,1344,61888,589,698,152,0.0,0.0,0.0,13.0,0.0,10.0,39.0,7.0,Greece
0.0,0.0,2.0,8.0,0.0,0.0,23.0,0.0,160,4380,40,87,64,,,,,,,,,Laos
23.0,11.0,52.0,71.0,13.0,2.0,94.0,0.0,342,21724,55,172,26,0.0,0.0,3.0,0.0,6.0,2.0,13.0,0.0,Argentina
129.0,63.0,50.0,35.0,26.0,3.0,309.0,54.0,296,83260,134,0,33,0.0,0.0,0.0,11.0,5.0,6.0,0.0,12.0,Germany
315.0,98.0,41.0,318.0,36.0,4.0,807.0,111.0,2236,58880,3270,4400,426,0.0,2.0,13.0,17.0,5.0,22.0,35.0,14.0,South Korea
25.0,0.0,8.0,34.0,0.0,0.0,33.0,7.0,338,7256,35,309,40,,,,,,,,,Ethiopia
37.0,27.0,13.0,15.0,0.0,0.0,64.0,35.0,224,2900,100,287,192,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Sudan
41.0,32.0,9.0,60.0,3.0,0.0,101.0,0.0,1374,11912,40,535,474,0.0,0.0,0.0,9.0,16.0,9.0,35.0,8.0,Vietnam
15.0,22.0,38.0,72.0,12.0,0.0,111.0,16.0,240,6560,12,290,49,0.0,0.0,0.0,7.0,8.0,4.0,13.0,0.0,Peru
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,182,0,0,0,,,,,,,,,Luxembourg
0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,45,720,0,457,79,,,,,,,,,Bosnia and Herzegovina
0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.0,20,1108,0,150,17,,,,,,,,,North Macedonia
0.0,0.0,5.0,0.0,0.0,0.0,15.0,6.0,30,1950,24,0,15,,,,,,,,,South Sudan
4.0,7.0,10.0,10.0,1.0,0.0,8.0,0.0,11,614,0,32,0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,Honduras
72.0,20.0,54.0,135.0,26.0,0.0,258.0,7.0,635,16935,50,589,26,0.0,1.0,0.0,7.0,6.0,0.0,49.0,5.0,Thailand
11.0,0.0,9.0,9.0,0.0,0.0,16.0,0.0,45,1224,12,36,20,,,,,,,,,Botswana
0.0,0.0,2.0,5.0,2.0,0.0,10.0,0.0,0,1824,0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,Ghana
14.0,0.0,6.0,7.0,0.0,0.0,12.0,0.0,62,1072,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,Tanzania
0.0,0.0,4.0,8.0,2.0,0.0,8.0,0.0,0,1712,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Ireland
12.0,16.0,10.0,17.0,2.0,0.0,42.0,4.0,43,6340,50,0,16,,,,,,,,,Czechia
44.0,6.0,13.0,66.0,13.0,0.0,155.0,44.0,1458,16624,358,80,56,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,Jordan
,,,,,,,,0,300,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Liberia
,,,,,,,,0,737,0,0,0,,,,,,,,,Kosovo
42.0,0.0,17.0,86.0,4.0,0.0,65.0,0.0,320,11584,56,546,110,0.0,0.0,0.0,7.0,6.0,2.0,61.0,5.0,Bangladesh
12.0,18.0,3.0,35.0,0.0,0.0,86.0,16.0,497,7642,198,650,268,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0,Azerbaijan
28.0,0.0,19.0,23.0,14.0,3.0,31.0,0.0,34,10828,24,115,0,0.0,0.0,0.0,5.0,2.0,2.0,20.0,0.0,Portugal
0.0,0.0,4.0,23.0,0.0,0.0,16.0,0.0,54,1428,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Slovenia
0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0,1685,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,Estonia
