Country,Rank,Military Expenditure (millions USD),Active Military Personnel,Reserve Military Personnel,Total Military,Aircraft,Tanks,Artillery,Navy Ships,Land Area (km²),Population (millions),GDP (billions USD),Region,Continent
United States,1,820000,1300000,860000,2160000,5415,5500,6612,415,9834000,338.3,27360,North America,Americas
China,2,292000,2035000,550000,2585000,3500,7716,15000,335,9597000,1425.9,17734,Asia,Asia
Russia,3,72000,1010000,250000,1260000,1697,12420,7500,109,17098000,144.4,1900,Eastern Europe,Europe
Germany,4,82000,183000,80000,263000,680,328,462,16,357000,83.4,3846,Western Europe,Europe
France,5,56000,203000,100000,303000,465,200,720,48,643000,67.8,2782,Western Europe,Europe
United Kingdom,6,68000,82000,35000,117000,537,227,344,77,243000,67.6,3106,Western Europe,Europe
Japan,7,49000,145000,56000,201000,322,102,101,134,378000,124.1,4232,East Asia,Asia
India,8,72000,1455000,960000,2415000,538,3500,6155,173,3287000,1417.2,3737,South Asia,Asia
South Korea,9,54000,465000,295000,760000,469,2700,5680,130,100000,51.9,1642,East Asia,Asia
Brazil,10,27000,360000,185000,545000,153,476,397,54,8515000,215.3,1839,South America,Americas
Saudi Arabia,11,60000,130000,20000,150000,356,730,500,65,2150000,36.4,1061,Middle East,Asia
Italy,12,30000,165000,35000,200000,343,200,224,75,301000,59.0,2010,Southern Europe,Europe
Spain,13,14000,120000,30000,150000,153,327,376,47,505000,47.6,1390,Southern Europe,Europe
Poland,14,31000,160000,50000,210000,48,370,345,32,312000,38.0,688,Central Europe,Europe
Australia,15,32000,85000,10000,95000,159,59,169,12,7688000,26.1,1394,Oceania,Oceania
Mexico,16,10000,195000,75000,270000,145,0,60,58,1964000,128.0,1289,North America,Americas
Canada,17,25000,68000,32000,100000,155,50,169,49,9985000,39.7,2140,North America,Americas
Turkey,18,24000,260000,380000,640000,219,2445,2300,45,785000,85.3,1154,Western Asia,Asia
Taiwan,19,19000,170000,1625000,1795000,388,790,2100,44,36000,23.9,778,East Asia,Asia
Indonesia,20,11000,396000,400000,796000,64,50,125,81,1913000,277.5,1199,Southeast Asia,Asia
