country,rank,military_expenditure_usd,active_military_personnel,reserve_military_personnel,total_military,aircraft,tanks,artillery,navy_ships,land_area_km2,population_millions,gdp_billions_usd,region,continent
United States,1,820000,1300000,860000,2160000,5415,5500,6612,415,9834000,338.3,27360,North America,Americas
China,2,292000,2035000,550000,2585000,3500,7716,15000,335,9597000,1425.9,17734,Asia,Asia
Russia,3,72000,1010000,250000,1260000,1697,12420,7500,109,17098000,144.4,1900,Eastern Europe,Europe
Germany,4,82000,183000,80000,263000,680,328,462,16,357000,83.4,3846,Western Europe,Europe
France,5,56000,203000,100000,303000,465,200,720,48,643000,67.8,2782,Western Europe,Europe
United Kingdom,6,68000,82000,35000,117000,537,227,344,77,243000,67.6,3106,Western Europe,Europe
Japan,7,49000,145000,56000,201000,322,102,101,134,378000,124.1,4232,East Asia,Asia
India,8,72000,1455000,960000,2415000,538,3500,6155,173,3287000,1417.2,3737,South Asia,Asia
South Korea,9,54000,465000,295000,760000,469,2700,5680,130,100000,51.9,1642,East Asia,Asia
Brazil,10,27000,360000,185000,545000,153,476,397,54,8515000,215.3,1839,South America,Americas
