country,total_population_by_country,total_population_by_country_rank,available_military_manpower,available_military_manpower_rank,manpower_fit_for_military_service,manpower_fit_for_military_service_rank,manpower_reaching_military_age_annually,manpower_reaching_military_age_annually_rank,active_military_manpower,active_military_manpower_rank,active_reserve_military_manpower,active_reserve_military_manpower_rank,manpower_paramilitary,manpower_paramilitary_rank,aircraft_total,aircraft_total_rank,aircraft_total_fighters,aircraft_total_fighters_rank,aircraft_total_attack_types,aircraft_total_attack_types_rank,aircraft_total_transports,aircraft_total_transports_rank,aircraft_total_trainers,aircraft_total_trainers_rank,aircraft_total_special_mission,aircraft_total_special_mission_rank,aircraft_total_tanker_fleet,aircraft_total_tanker_fleet_rank,aircraft_helicopters_total,aircraft_helicopters_total_rank,aircraft_helicopters_attack,aircraft_helicopters_attack_rank,armor_tanks_total,armor_tanks_total_rank,armor_apc_total,armor_apc_total_rank,armor_self_propelled_guns_total,armor_self_propelled_guns_total_rank,armor_towed_artillery_total,armor_towed_artillery_total_rank,armor_mlrs_total,armor_mlrs_total_rank,navy_ships,navy_ships_rank,navy_force_by_tonnage,navy_force_by_tonnage_rank,navy_aircraft_carriers,navy_aircraft_carriers_rank,navy_helo_carriers,navy_helo_carriers_rank,navy_submarines,navy_submarines_rank,navy_destroyers,navy_destroyers_rank,navy_frigates,navy_frigates_rank,navy_corvettes,navy_corvettes_rank,navy_patrol_coastal_craft,navy_patrol_coastal_craft_rank,navy_mine_warfare_craft,navy_mine_warfare_craft_rank,defense_spending_budget,defense_spending_budget_rank,external_debt_by_country,external_debt_by_country_rank,purchasing_power_parity,purchasing_power_parity_rank,reserves_of_foreign_exchange_and_gold,reserves_of_foreign_exchange_and_gold_rank,major_serviceable_airports_by_country,major_serviceable_airports_by_country_rank,labor_force_by_country,labor_force_by_country_rank,major_ports_and_terminals,major_ports_and_terminals_rank,merchant_marine_strength_by_country,merchant_marine_strength_by_country_rank,railway_coverage,railway_coverage_rank,roadway_coverage,roadway_coverage_rank,oil_production_by_country,oil_production_by_country_rank,oil_consumption_by_country,oil_consumption_by_country_rank,proven_oil_reserves_by_country,proven_oil_reserves_by_country_rank,natural_gas_production_by_country,natural_gas_production_by_country_rank,natural_gas_consumption_by_country,natural_gas_consumption_by_country_rank,proven_natural_gas_reserves_by_country,proven_natural_gas_reserves_by_country_rank,coal_production_by_country,coal_production_by_country_rank,coal_consumption_by_country,coal_consumption_by_country_rank,proven_coal_reserves_by_country,proven_coal_reserves_by_country_rank,square_land_area,square_land_area_rank,coastline_coverage,coastline_coverage_rank,border_coverage,border_coverage_rank,waterway_coverage,waterway_coverage_rank
China,"1,415,043,270",1,"764,123,366",1,"626,864,169",1,"19,810,606",2,"2,035,000",1,"510,000",14,"625,000",4,"3,309",3,"1,212",2,371,3,289,3,402,4,112,4,10,7,913,3,281,3,"6,800",1,"144,017",3,"3,490",2,"1,000",9,"2,750",2,754,1,"2,857,143",2,3,2,4,2,61,3,50,2,47,1,72,2,150,5,36,2,"$                        							266,850,000,000",2,"$                        							1,218,458,500,000",16,"$                        							31,227,000,000,000",1,"$                        							3,450,000,000,000",1,531,14,"779,246,000",1,66,13,"8,314",2,"150,000                        						
							km",2,"5,200,000                        						
							km",3,"4,984,000                        						
							bbl",5,"15,148,000                        						
							bbl",2,"26,023,000,000                        						
							bbl",13,"225,341,000,000                        						
							Cu.M",4,"366,160,000,000                        						
							Cu.M",3,"6,654,000,000,000                        						
							Cu.M",7,"4,827,000,000                        						
							Cu.M",1,"5,313,000,000                        						
							mt",1,"143,197,000,000                        						
							Cu.M",4,"9,596,960                        						
							km",4,"14,500                        						
							km",10,"22,457                        						
							km",1,"27,700                        						
							km",6
India,"1,409,128,296",2,"662,290,299",2,"522,786,598",2,"23,955,181",1,"1,455,550",2,"1,155,000",7,"2,527,000",2,"2,229",4,513,4,130,4,270,4,351,6,74,5,6,14,899,4,80,9,"4,201",5,"148,594",2,100,32,"3,975",3,264,18,293,6,"593,603",5,2,3,0,47,18,7,13,4,14,5,18,5,135,8,0,78,"$                        							75,000,000,000",4,"$                        							371,020,500,000",30,"$                        							13,104,000,000,000",3,"$                        							627,793,000,000",5,311,20,"593,729,000",2,56,16,"1,859",12,"65,554                        						
							km",4,"6,371,847                        						
							km",2,"795,000                        						
							bbl",23,"5,049,000                        						
							bbl",3,"4,605,000,000                        						
							bbl",22,"33,170,000,000                        						
							Cu.M",23,"58,867,000,000                        						
							Cu.M",15,"1,381,000,000,000                        						
							Cu.M",23,"985,671,000                        						
							Cu.M",2,"1,200,000,000                        						
							mt",2,"111,052,000,000                        						
							Cu.M",5,"3,287,263                        						
							km",7,"7,000                        						
							km",18,"13,888                        						
							km",4,"14,500                        						
							km",10
United States,"341,963,408",3,"150,463,900",3,"124,816,644",3,"4,445,524",5,"1,328,000",3,"799,500",10,0,145,"13,043",1,"1,790",1,889,1,918,1,"2,647",1,647,1,605,1,"5,843",1,"1,002",1,"4,640",3,"391,963",1,671,8,"1,212",8,641,5,440,2,"4,168,037",1,11,1,9,1,70,1,81,1,0,115,26,3,0,117,8,16,"$                        							895,000,000,000",1,"$                        							22,303,546,100,000",1,"$                        							24,662,000,000,000",2,"$                        							773,426,000,000",4,"15,873",1,"170,549,000",3,666,1,"3,533",6,"293,564                        						
							km",1,"6,586,610                        						
							km",1,"20,879,000                        						
							bbl",1,"20,245,000                        						
							bbl",1,"38,212,000,000                        						
							bbl",10,"1,029,000,000,000                        						
							Cu.M",1,"914,301,000,000                        						
							Cu.M",1,"13,402,000,000,000                        						
							Cu.M",4,"548,849,000                        						
							Cu.M",4,"476,044,000                        						
							mt",3,"248,941,000,000                        						
							Cu.M",1,"9,833,517                        						
							km",3,"19,924                        						
							km",8,"12,002                        						
							km",6,"41,009                        						
							km",5
Indonesia,"281,562,465",4,"137,965,608",4,"114,595,923",4,"4,786,562",4,"400,000",13,"400,000",17,"250,000",8,459,26,41,44,34,21,70,10,112,24,17,23,1,29,214,22,15,38,331,38,"20,440",22,153,23,396,31,63,41,331,4,"304,168",11,0,48,0,48,4,28,0,51,7,23,25,4,211,2,12,11,"$                        							10,600,000,000",29,"$                        							440,000,000,000",25,"$                        							3,906,000,000,000",8,"$                        							146,359,000,000",22,513,15,"140,931,000",4,123,6,"11,422",1,"8,159                        						
							km",26,"496,607                        						
							km",15,"865,000                        						
							bbl",20,"1,728,000                        						
							bbl",13,"2,480,000,000                        						
							bbl",33,"57,410,000,000                        						
							Cu.M",14,"36,061,000,000                        						
							Cu.M",26,"1,408,000,000,000                        						
							Cu.M",22,"659,357,000                        						
							Cu.M",3,"202,283,000                        						
							mt",6,"34,869,000,000                        						
							Cu.M",7,"1,904,569                        						
							km",14,"54,716                        						
							km",2,"2,958                        						
							km",62,"21,579                        						
							km",8
Pakistan,"252,363,571",5,"108,516,336",7,"85,803,614",7,"4,794,908",3,"654,000",7,"550,000",13,"500,000",6,"1,399",7,328,6,90,8,64,11,565,3,27,12,4,19,373,10,57,12,"2,627",7,"17,516",30,662,9,"2,629",4,600,6,121,27,"111,715",28,0,81,0,81,8,16,0,82,9,15,9,8,69,17,3,40,"$                        							7,640,000,000",38,"$                        							92,426,000,000",52,"$                        							1,347,000,000,000",25,"$                        							13,730,000,000",71,116,43,"80,990,000",6,3,95,60,84,"11,881                        						
							km",19,"264,175                        						
							km",22,"101,000                        						
							bbl",43,"473,000                        						
							bbl",34,"540,000,000                        						
							bbl",44,"36,937,000,000                        						
							Cu.M",21,"46,448,000,000                        						
							Cu.M",19,"592,219,000,000                        						
							Cu.M",29,"12,712,000                        						
							Cu.M",29,"34,027,000                        						
							mt",22,"3,064,000,000                        						
							Cu.M",26,"796,095                        						
							km",35,"1,046                        						
							km",65,"7,257                        						
							km",13,"0                        						
							km",131
Nigeria,"236,747,130",6,"125,475,979",5,"90,437,404",5,"4,261,448",6,"230,000",22,0,127,"50,000",44,163,54,14,66,24,32,23,36,28,64,11,31,0,106,66,55,15,39,330,39,"8,962",43,40,59,339,33,37,50,133,23,,,0,77,0,77,0,91,0,78,1,50,0,95,109,10,2,46,"$                        							3,160,000,000",59,"$                        							32,455,500,000",76,"$                        							1,275,000,000,000",26,"$                        							41,349,000,000",48,47,87,"75,721,000",7,28,30,928,21,"3,798                        						
							km",51,"195,000                        						
							km",29,"1,541,000                        						
							bbl",15,"515,000                        						
							bbl",32,"36,890,000,000                        						
							bbl",11,"39,951,000,000                        						
							Cu.M",19,"20,719,000,000                        						
							Cu.M",36,"5,761,000,000,000                        						
							Cu.M",8,"3,043,000                        						
							Cu.M",42,"3,044,000                        						
							mt",58,"2,144,000,000                        						
							Cu.M",32,"923,768                        						
							km",31,"853                        						
							km",69,"4,477                        						
							km",42,"8,600                        						
							km",17
Brazil,"220,051,512",7,"112,226,271",6,"88,680,759",6,"3,520,824",7,"360,000",15,"340,000",22,"200,000",13,513,22,43,40,38,16,109,6,133,22,25,16,0,48,191,25,0,90,294,45,"22,464",19,109,30,412,30,38,49,64,46,"135,737",22,0,22,1,8,4,24,0,25,6,28,2,35,23,50,3,39,"$                        							26,157,300,000",19,"$                        							432,224,000,000",26,"$                        							4,016,000,000,000",7,"$                        							355,021,000,000",11,"4,919",2,"108,695,000",5,45,19,888,22,"29,850                        						
							km",7,"2,000,000                        						
							km",4,"4,221,000                        						
							bbl",7,"3,027,000                        						
							bbl",7,"12,715,000,000                        						
							bbl",14,"22,670,000,000                        						
							Cu.M",29,"31,654,000,000                        						
							Cu.M",29,"363,985,000,000                        						
							Cu.M",32,"15,644,000                        						
							Cu.M",22,"32,787,000                        						
							mt",23,"6,596,000,000                        						
							Cu.M",17,"8,515,770                        						
							km",5,"7,491                        						
							km",15,"16,145                        						
							km",3,"50,000                        						
							km",2
Bangladesh,"168,697,184",8,"82,661,620",8,"66,129,296",8,"3,205,246",8,"163,000",36,0,99,"6,800,000",1,214,44,42,43,0,72,17,42,86,31,4,46,0,39,65,56,0,82,320,41,"11,584",38,56,45,546,21,110,33,118,28,"75,280",34,0,16,0,17,2,36,0,19,7,21,6,19,61,20,5,23,"$                        							4,374,000,000",56,"$                        							51,965,000,000",60,"$                        							1,413,000,000,000",23,"$                        							21,860,000,000",60,17,124,"74,914,000",8,2,98,558,33,"2,460                        						
							km",66,"369,105                        						
							km",20,"13,000                        						
							bbl",70,"160,000                        						
							bbl",62,"28,000,000                        						
							bbl",77,"24,620,000,000                        						
							Cu.M",27,"30,384,000,000                        						
							Cu.M",30,"126,293,000,000                        						
							Cu.M",44,"754,000                        						
							Cu.M",63,"7,514,000                        						
							mt",41,"3,260,000,000                        						
							Cu.M",24,"148,460                        						
							km",89,"580                        						
							km",75,"4,413                        						
							km",43,"8,370                        						
							km",19
Russia,"140,820,810",9,"69,002,197",9,"46,189,226",10,"1,267,387",18,"1,320,000",5,"2,000,000",4,"250,000",9,"4,292",2,833,3,689,2,456,2,611,2,141,3,19,3,"1,651",2,557,2,"5,750",2,"131,527",4,"5,168",1,"8,505",1,"3,005",1,419,3,"1,260,447",3,1,7,0,91,63,2,10,7,12,9,83,1,123,9,47,1,"$                        							126,000,000,000",3,"$                        							317,650,500,000",31,"$                        							5,816,000,000,000",4,"$                        							597,217,000,000",6,904,7,"72,408,000",9,67,11,"2,910",8,"85,494                        						
							km",3,"1,283,387                        						
							km",5,"10,727,000                        						
							bbl",3,"3,684,000                        						
							bbl",4,"80,000,000,000                        						
							bbl",8,"617,830,000,000                        						
							Cu.M",2,"472,239,000,000                        						
							Cu.M",2,"47,805,000,000,000                        						
							Cu.M",1,"508,190,000                        						
							Cu.M",5,"310,958,000                        						
							mt",4,"162,166,000,000                        						
							Cu.M",2,"17,098,242                        						
							km",1,"37,653                        						
							km",3,"22,407                        						
							km",2,"102,000                        						
							km",1
Mexico,"130,739,927",10,"61,447,766",10,"49,811,912",9,"2,222,579",11,"412,000",12,"98,655",44,"120,000",20,433,28,3,87,33,22,41,22,176,13,25,17,0,94,178,26,0,120,0,133,"19,658",24,20,77,70,73,0,125,167,19,,,0,68,0,68,0,84,5,9,1,49,3,32,140,7,0,91,"$                        							7,600,000,000",39,"$                        							371,359,000,000",29,"$                        							2,873,000,000,000",13,"$                        							214,317,000,000",16,"1,485",4,"60,042,000",12,35,26,674,28,"23,389                        						
							km",10,"704,884                        						
							km",12,"2,101,000                        						
							bbl",11,"1,737,000                        						
							bbl",12,"5,786,000,000                        						
							bbl",20,"31,422,000,000                        						
							Cu.M",24,"90,566,000,000                        						
							Cu.M",8,"180,322,000,000                        						
							Cu.M",39,"7,453,000                        						
							Cu.M",32,"18,423,000                        						
							mt",26,"1,211,000,000                        						
							Cu.M",39,"1,964,375                        						
							km",13,"9,330                        						
							km",13,"4,389                        						
							km",44,"2,900                        						
							km",36
