country,region,continent,alliances,metric,value
China,East Asia,Asia,"BRICS, SCO",total_population_by_country,1415043270.0
India,South Asia,Asia,"BRICS, SCO",total_population_by_country,1409128296.0
United States,North America,North America,"NATO, FIVE_EYES",total_population_by_country,341963408.0
Indonesia,Southeast Asia,Asia,ASEAN,total_population_by_country,281562465.0
Pakistan,South Asia,Asia,SCO,total_population_by_country,252363571.0
Nigeria,West Africa,Africa,AFRICAN_UNION,total_population_by_country,236747130.0
Brazil,South America,South America,BRICS,total_population_by_country,220051512.0
Bangladesh,South Asia,Asia,None,total_population_by_country,168697184.0
Russia,Eastern Europe,Europe,"BRICS, SCO",total_population_by_country,140820810.0
Mexico,Central America,North America,None,total_population_by_country,130739927.0
Japan,East Asia,Asia,None,total_population_by_country,123201945.0
Ethiopia,East Africa,Africa,"BRICS, AFRICAN_UNION",total_population_by_country,118550298.0
Philippines,Southeast Asia,Asia,ASEAN,total_population_by_country,118277063.0
Democratic Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,total_population_by_country,115403027.0
Egypt,North Africa,Africa,"BRICS, ARAB_LEAGUE, AFRICAN_UNION",total_population_by_country,111247248.0
Vietnam,Southeast Asia,Asia,ASEAN,total_population_by_country,105758975.0
Iran,Middle East,Asia,"BRICS, SCO",total_population_by_country,88386937.0
Turkiye,Middle East,Asia,NATO,total_population_by_country,84119531.0
Germany,Western Europe,Europe,"NATO, EU",total_population_by_country,84119100.0
Thailand,Southeast Asia,Asia,ASEAN,total_population_by_country,69920998.0
United Kingdom,Western Europe,Europe,"NATO, FIVE_EYES",total_population_by_country,68459055.0
France,Western Europe,Europe,"NATO, EU",total_population_by_country,68374591.0
Tanzania,East Africa,Africa,AFRICAN_UNION,total_population_by_country,67462121.0
Italy,Southern Europe,Europe,"NATO, EU",total_population_by_country,60964931.0
South Africa,Southern Africa,Africa,"BRICS, AFRICAN_UNION",total_population_by_country,60442647.0
Kenya,East Africa,Africa,AFRICAN_UNION,total_population_by_country,58246378.0
Myanmar,Southeast Asia,Asia,ASEAN,total_population_by_country,57527139.0
South Korea,East Asia,Asia,None,total_population_by_country,52081799.0
Sudan,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",total_population_by_country,50467278.0
Colombia,South America,South America,None,total_population_by_country,49588357.0
Uganda,East Africa,Africa,AFRICAN_UNION,total_population_by_country,49283041.0
Spain,Southern Europe,Europe,"NATO, EU",total_population_by_country,47280433.0
Algeria,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",total_population_by_country,47022473.0
Argentina,South America,South America,None,total_population_by_country,46994384.0
Iraq,Middle East,Asia,ARAB_LEAGUE,total_population_by_country,42083436.0
Afghanistan,South Asia,Asia,None,total_population_by_country,40121552.0
Canada,North America,North America,"NATO, FIVE_EYES",total_population_by_country,38794813.0
Poland,Eastern Europe,Europe,"NATO, EU",total_population_by_country,38746310.0
Morocco,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",total_population_by_country,37387585.0
Angola,Southern Africa,Africa,AFRICAN_UNION,total_population_by_country,37202061.0
Saudi Arabia,Middle East,Asia,"BRICS, ARAB_LEAGUE",total_population_by_country,36544431.0
Uzbekistan,Central Asia,Asia,SCO,total_population_by_country,36520593.0
Ukraine,Eastern Europe,Europe,None,total_population_by_country,35661826.0
Ghana,West Africa,Africa,AFRICAN_UNION,total_population_by_country,34589092.0
Malaysia,Southeast Asia,Asia,ASEAN,total_population_by_country,34564810.0
Mozambique,East Africa,Africa,AFRICAN_UNION,total_population_by_country,33350954.0
Peru,South America,South America,None,total_population_by_country,32600249.0
Yemen,Middle East,Asia,ARAB_LEAGUE,total_population_by_country,32140443.0
Venezuela,South America,South America,None,total_population_by_country,31250306.0
Nepal,South Asia,Asia,None,total_population_by_country,31122387.0
