country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget,total_assets,assets_per_capita,power_index_rank_gap,budget_per_soldier,budget_per_capita,continent,is_nato
United States,1,0.0741,341963408,150463900,1333030,799500,13032,5913,4666,465,831500000000,24076,7.040519376271978e-05,0,5526.2425073389695,2431.5467109861065,North America,1
Russia,2,0.0791,140820810,69002197,1320000,2000000,4237,1643,5630,747,212638272000,12257,8.703969249999343e-05,1,3081.615966517704,1509.991825781999,Europe,0
China,3,0.0919,1415043270,764123366,2035000,510000,3529,1007,5870,841,303000000000,11247,7.94816684298283e-06,2,396.53282896730576,214.12772769839046,Asia,0
India,4,0.1346,1409128296,662290299,1431000,1000000,2183,594,3913,343,109000000000,7033,4.991028865124712e-06,3,164.5803964886401,77.35278633564533,Asia,0
South Korea,5,0.1642,52081799,26040900,450000,3100000,1540,827,1831,215,44800000000,4413,8.47320961397666e-05,4,1720.3706477118687,860.1853403719791,Other,0
France,6,0.1798,68374591,30084820,264000,43444,974,452,427,166,67232395000,2019,2.9528513011507447e-05,5,2234.761417884501,983.2950225618168,Europe,1
Japan,7,0.1876,123201945,52976836,251500,56000,1429,583,734,158,58000000000,2904,2.357105644720138e-05,6,1094.8181201308437,470.7717885460331,Asia,0
United Kingdom,8,0.1881,68459055,31491165,141330,31940,625,262,288,116,88526529585,1291,1.8857987449578436e-05,7,2811.154480470951,1293.1310486976486,Europe,1
Turkiye,9,0.1975,84119531,42985080,481000,380000,1101,509,2284,192,51400000000,4086,4.857373729294805e-05,8,1195.7637394184214,611.0352659954797,Other,1
Italy,10,0.2211,60964931,27434219,165500,18300,714,352,203,285,37325165000,1554,2.5490064115712686e-05,9,1360.5331720943104,612.2399285582723,Other,1
Brazil,11,0.2374,220051512,112226271,376000,1340000,495,186,294,69,26400000000,1044,4.744343678947318e-06,10,235.2390377472312,119.97190912280576,South America,0
Germany,12,0.2463,84119100,38694786,184324,860000,569,292,296,96,127400090000,1253,1.4895546909084857e-05,11,3292.435575170257,1514.520364578318,Europe,1
Indonesia,13,0.2582,281562465,137965608,404500,401000,460,212,331,338,11155297716,1341,4.762708694143589e-06,12,80.85564132765609,39.619264293626635,Other,0
Pakistan,14,0.2626,252363571,108516336,660000,550000,1397,379,2677,120,9102115350,4573,1.8120681926790456e-05,13,83.87783522289216,36.06746930205707,Other,0
Israel,15,0.2707,9402617,3949099,169500,465000,597,127,1300,82,34600000000,2106,0.0002239801961517735,14,8761.492178342452,3679.82658444984,Other,0
Iran,16,0.3199,88386937,49496685,610000,350000,551,129,2675,109,9230000000,3464,3.919131172064487e-05,15,186.47713478185457,104.42719606857742,Other,0
Australia,17,0.3208,26768598,11242811,58910,33270,348,72,46,45,57350000000,511,1.9089531696803843e-05,16,5101.037454067315,2142.435700218592,Oceania,0
Spain,18,0.3247,47280433,21748999,121802,24033,440,169,298,175,39000676350,1082,2.288473119524942e-05,17,1793.2170740363729,824.8798472298255,Other,1
Egypt,19,0.3651,111247248,45611372,438500,479000,1088,348,3620,149,5193500000,5205,4.67876742443103e-05,18,113.86414773929624,46.68430090063891,Other,0
Ukraine,20,0.3691,35661826,18187531,900000,4000000,347,140,1121,169,45000000000,1777,4.9829192705948374e-05,19,2474.2225868920855,1261.8535012761265,Other,0
Poland,21,0.3891,38746310,18985692,250000,350000,457,224,798,63,55865141600,1542,3.979733812071395e-05,20,2942.4864576966697,1441.8183718656048,Other,1
Taiwan,22,0.3927,23595274,12269542,230000,1657000,720,239,1090,91,31180000000,2140,9.069612838570978e-05,21,2541.2521510582874,1321.4510668534724,Other,0
Vietnam,23,0.4066,105758975,54994667,450000,5000000,265,101,1999,116,10200000000,2481,2.3459001942861115e-05,22,185.47252954545576,96.44571536363699,Other,0
Thailand,24,0.4458,69920998,36358919,360850,200000,496,258,744,304,6006660000,1802,2.577194335813113e-05,23,165.20458157735658,85.9063825147347,Other,0
Saudi Arabia,25,0.4473,36544431,19003104,247000,0,917,264,1085,32,63988055520,2298,6.288235819022603e-05,24,3367.2422947324817,1750.9659822039644,Other,0
Sweden,26,0.4834,10589835,4235934,25600,34000,172,53,110,279,15900000000,614,5.7980129057723754e-05,25,3753.599560333093,1501.4398241332372,Other,1
Algeria,27,0.4849,47022473,22570787,130000,150000,620,300,1485,111,25000000000,2516,5.350633089841957e-05,26,1107.6264199383033,531.6606806281753,Other,0
Canada,28,0.5269,38794813,16681770,63500,23000,354,146,74,67,45824959620,641,1.652282742025332e-05,27,2747.0082383344215,1181.2135715153468,North America,1
Singapore,29,0.5272,6028459,3918498,51000,252500,235,75,170,101,18000000000,581,9.637620493064645e-05,28,4593.596832255625,2985.837674271319,Other,0
Greece,30,0.5484,10461091,4916713,142700,221350,560,285,1344,186,8242150000,2375,0.0002270317694397267,29,1676.3536940228157,787.8862730474287,Other,1
North Korea,31,0.5933,26298666,9467520,1320000,560000,837,205,4895,332,4750000000,6269,0.0002383771100785112,30,501.7153383356993,180.61752637947492,Other,0
Argentina,32,0.5983,46994384,20677529,108000,12370,241,96,362,42,993919790,741,1.5767841536129084e-05,31,48.06762887383691,21.14975674540175,Other,0
Nigeria,33,0.6097,236747130,125475979,230000,0,159,69,330,152,3900000000,710,2.998980388906932e-06,32,31.08164631255836,16.473272558784558,Other,0
Netherlands,34,0.6142,17772378,7997570,44245,8510,130,67,18,140,31791150000,355,1.9974817101009218e-05,33,3975.101186985547,1788.7955117767583,Other,1
Myanmar,35,0.6265,57527139,30489384,228000,19000,331,86,1040,239,2815031361,1696,2.948173730663018e-05,34,92.32824648080788,48.933971164462044,Other,0
Mexico,36,0.6401,130739927,61447766,387000,98653,424,173,0,164,9100000000,761,5.820716115284354e-06,35,148.09326021714116,69.60383265320318,Other,0
Bangladesh,37,0.6517,168697184,82661620,204000,0,212,67,320,121,3340000000,720,4.268002481890866e-06,36,40.405692508808805,19.79878929099374,Other,0
