country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget
United States,1,0.0741,341963408,150463900,1333030,799500,13032,5913,4666,465,831500000000
Russia,2,0.0791,140820810,69002197,1320000,2000000,4237,1643,5630,747,212638272000
China,3,0.0919,1415043270,764123366,2035000,510000,3529,1007,5870,841,303000000000
India,4,0.1346,1409128296,662290299,1431000,1000000,2183,594,3913,343,109000000000
South Korea,5,0.1642,52081799,26040900,450000,3100000,1540,827,1831,215,44800000000
France,6,0.1798,68374591,30084820,264000,43444,974,452,427,166,67232395000
Japan,7,0.1876,123201945,52976836,251500,56000,1429,583,734,158,58000000000
United Kingdom,8,0.1881,68459055,31491165,141330,31940,625,262,288,116,88526529585
Turkiye,9,0.1975,84119531,42985080,481000,380000,1101,509,2284,192,51400000000
Italy,10,0.2211,60964931,27434219,165500,18300,714,352,203,285,37325165000
Brazil,11,0.2374,220051512,112226271,376000,1340000,495,186,294,69,26400000000
Germany,12,0.2463,84119100,38694786,184324,860000,569,292,296,96,127400090000
Indonesia,13,0.2582,281562465,137965608,404500,401000,460,212,331,338,11155297716
Pakistan,14,0.2626,252363571,108516336,660000,550000,1397,379,2677,120,9102115350
Israel,15,0.2707,9402617,3949099,169500,465000,597,127,1300,82,34600000000
Iran,16,0.3199,88386937,49496685,610000,350000,551,129,2675,109,9230000000
Australia,17,0.3208,26768598,11242811,58910,33270,348,72,46,45,57350000000
Spain,18,0.3247,47280433,21748999,121802,24033,440,169,298,175,39000676350
Egypt,19,0.3651,111247248,45611372,438500,479000,1088,348,3620,149,5193500000
Ukraine,20,0.3691,35661826,18187531,900000,4000000,347,140,1121,169,45000000000
Poland,21,0.3891,38746310,18985692,250000,350000,457,224,798,63,55865141600
Taiwan,22,0.3927,23595274,12269542,230000,1657000,720,239,1090,91,31180000000
Vietnam,23,0.4066,105758975,54994667,450000,5000000,265,101,1999,116,10200000000
Thailand,24,0.4458,69920998,36358919,360850,200000,496,258,744,304,6006660000
Saudi Arabia,25,0.4473,36544431,19003104,247000,0,917,264,1085,32,63988055520
Sweden,26,0.4834,10589835,4235934,25600,34000,172,53,110,279,15900000000
Algeria,27,0.4849,47022473,22570787,130000,150000,620,300,1485,111,25000000000
Canada,28,0.5269,38794813,16681770,63500,23000,354,146,74,67,45824959620
Singapore,29,0.5272,6028459,3918498,51000,252500,235,75,170,101,18000000000
Greece,30,0.5484,10461091,4916713,142700,221350,560,285,1344,186,8242150000
North Korea,31,0.5933,26298666,9467520,1320000,560000,837,205,4895,332,4750000000
Argentina,32,0.5983,46994384,20677529,108000,12370,241,96,362,42,993919790
Nigeria,33,0.6097,236747130,125475979,230000,0,159,69,330,152,3900000000
Netherlands,34,0.6142,17772378,7997570,44245,8510,130,67,18,140,31791150000
Myanmar,35,0.6265,57527139,30489384,228000,19000,331,86,1040,239,2815031361
Mexico,36,0.6401,130739927,61447766,387000,98653,424,173,0,164,9100000000
Bangladesh,37,0.6517,168697184,82661620,204000,0,212,67,320,121,3340000000
Portugal,38,0.6659,10639726,5319863,25000,23500,128,36,34,128,6760000000
Norway,39,0.6679,5509733,2203893,33440,20100,109,34,36,48,11189483200
South Africa,40,0.6843,60442647,27803618,68731,29350,181,87,248,63,2877000000
Philippines,41,0.6993,118277063,50859137,160000,1500000,204,130,18,127,6571641011
Malaysia,42,0.7379,34564810,16245461,113000,51600,132,45,48,100,5100000000
Colombia,43,0.7551,49588357,24298295,429000,998000,430,255,0,213,15800000000
Iraq,44,0.8115,42083436,17675043,193000,0,360,183,1188,67,8000000000
Denmark,45,0.8198,5973136,2628180,21000,12000,122,34,44,50,14250000000
Switzerland,46,0.8396,8860574,3898653,147178,0,141,39,134,0,8372658426
Ethiopia,47,0.8525,118550298,56904143,503000,138000,104,33,338,0,3720968976
Finland,48,0.8673,5626414,2306830,24000,870000,162,27,200,165,8890000000
Chile,49,0.8704,18664652,8959033,80000,40000,274,86,386,130,6800000000
Peru,50,0.8827,32600249,15648120,120000,386000,252,112,355,78,2552000000
Venezuela,51,0.9106,31250306,15625153,109000,8000,224,85,282,41,6060000000
Romania,52,0.9558,18148155,9437041,90000,55000,148,66,451,18,10230630000
Uzbekistan,53,0.9908,36520593,18990708,120000,0,159,101,470,0,6210000000
United Arab Emirates,54,1.0188,10032213,5818684,65000,130000,581,250,354,84,23480000000
Czechia,55,1.0313,10837890,5093808,30334,4900,103,42,20,0,9174000000
Morocco,56,1.0368,37387585,17946041,400000,250000,271,73,1346,100,16100000000
Hungary,57,1.0429,9855745,4632200,41600,20000,80,50,220,0,5887250000
Kazakhstan,58,1.0433,20260006,9117003,110000,135000,168,72,353,26,5836386000
Angola,59,1.1045,37202061,7440412,107000,0,278,115,319,32,31200000000
Azerbaijan,60,1.1991,10650239,5218617,128000,306000,159,87,1354,32,5100000000
Belgium,61,1.2201,11977634,4910830,26390,6600,104,14,0,9,14900000000
Bulgaria,62,1.2522,6782659,3187850,36950,3000,71,23,334,45,2485350000
Serbia,63,1.2938,6652212,3259584,22500,2000,115,51,242,30,2770000000
Democratic Republic of the Congo,64,1.3051,115403027,39237029,166580,30800,56,38,212,16,960000000
Cuba,65,1.3345,10966038,5921661,50000,40000,20,13,194,19,3301500000
Sudan,66,1.3563,50467278,26747657,300000,200000,183,64,1055,10,394700000
Austria,67,1.3759,8967982,4035592,25000,125600,90,41,56,0,6103900800
