country,continent,is_nato,kpi_name,kpi_value
United States,North America,1,assets_per_capita,7.040519376271978e-05
Russia,Europe,0,assets_per_capita,8.703969249999343e-05
China,Asia,0,assets_per_capita,7.94816684298283e-06
India,Asia,0,assets_per_capita,4.991028865124712e-06
South Korea,Other,0,assets_per_capita,8.47320961397666e-05
France,Europe,1,assets_per_capita,2.952851301150745e-05
Japan,Asia,0,assets_per_capita,2.357105644720138e-05
United Kingdom,Europe,1,assets_per_capita,1.885798744957844e-05
Turkiye,Other,1,assets_per_capita,4.857373729294805e-05
Italy,Other,1,assets_per_capita,2.549006411571269e-05
Brazil,South America,0,assets_per_capita,4.744343678947318e-06
Germany,Europe,1,assets_per_capita,1.489554690908486e-05
Indonesia,Other,0,assets_per_capita,4.762708694143589e-06
Pakistan,Other,0,assets_per_capita,1.812068192679046e-05
Israel,Other,0,assets_per_capita,0.0002239801961517735
Iran,Other,0,assets_per_capita,3.919131172064487e-05
Australia,Oceania,0,assets_per_capita,1.908953169680384e-05
Spain,Other,1,assets_per_capita,2.288473119524942e-05
Egypt,Other,0,assets_per_capita,4.67876742443103e-05
Ukraine,Other,0,assets_per_capita,4.982919270594837e-05
Poland,Other,1,assets_per_capita,3.979733812071395e-05
Taiwan,Other,0,assets_per_capita,9.069612838570978e-05
Vietnam,Other,0,assets_per_capita,2.345900194286111e-05
Thailand,Other,0,assets_per_capita,2.577194335813113e-05
Saudi Arabia,Other,0,assets_per_capita,6.288235819022603e-05
Sweden,Other,1,assets_per_capita,5.798012905772375e-05
Algeria,Other,0,assets_per_capita,5.350633089841957e-05
Canada,North America,1,assets_per_capita,1.652282742025332e-05
Singapore,Other,0,assets_per_capita,9.637620493064645e-05
Greece,Other,1,assets_per_capita,0.0002270317694397267
North Korea,Other,0,assets_per_capita,0.0002383771100785112
Argentina,Other,0,assets_per_capita,1.576784153612908e-05
Nigeria,Other,0,assets_per_capita,2.998980388906932e-06
Netherlands,Other,1,assets_per_capita,1.997481710100922e-05
Myanmar,Other,0,assets_per_capita,2.948173730663018e-05
Mexico,Other,0,assets_per_capita,5.820716115284354e-06
Bangladesh,Other,0,assets_per_capita,4.268002481890866e-06
Portugal,Other,1,assets_per_capita,3.063988677903923e-05
Norway,Other,1,assets_per_capita,4.119981857560067e-05
South Africa,Other,0,assets_per_capita,9.579328979420773e-06
Philippines,Other,0,assets_per_capita,4.049813107043417e-06
Malaysia,Other,0,assets_per_capita,9.402626544164426e-06
