Country,Rank,PowerIndex,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Total Tank Strength,Total Naval Assets,Defense Budget
United States,1,0.0741,"341,963,408","150,463,900","1,333,030","799,500","13,032","5,913","4,666",465,"$                        							831,500,000,000"
Russia,2,0.0791,"140,820,810","69,002,197","1,320,000","2,000,000","4,237","1,643","5,630",747,"$                        							212,638,272,000"
China,3,0.0919,"1,415,043,270","764,123,366","2,035,000","510,000","3,529","1,007","5,870",841,"$                        							303,000,000,000"
India,4,0.1346,"1,409,128,296","662,290,299","1,431,000","1,000,000","2,183",594,"3,913",343,"$                        							109,000,000,000"
South Korea,5,0.1642,"52,081,799","26,040,900","450,000","3,100,000","1,540",827,"1,831",215,"$                        							44,800,000,000"
France,6,0.1798,"68,374,591","30,084,820","264,000","43,444",974,452,427,166,"$                        							67,232,395,000"
Japan,7,0.1876,"123,201,945","52,976,836","251,500","56,000","1,429",583,734,158,"$                        							58,000,000,000"
United Kingdom,8,0.1881,"68,459,055","31,491,165","141,330","31,940",625,262,288,116,"$                        							88,526,529,585"
Turkiye,9,0.1975,"84,119,531","42,985,080","481,000","380,000","1,101",509,"2,284",192,"$                        							51,400,000,000"
Italy,10,0.2211,"60,964,931","27,434,219","165,500","18,300",714,352,203,285,"$                        							37,325,165,000"
Brazil,11,0.2374,"220,051,512","112,226,271","376,000","1,340,000",495,186,294,69,"$                        							26,400,000,000"
Germany,12,0.2463,"84,119,100","38,694,786","184,324","860,000",569,292,296,96,"$                        							127,400,090,000"
Indonesia,13,0.2582,"281,562,465","137,965,608","404,500","401,000",460,212,331,338,"$                        							11,155,297,716"
Pakistan,14,0.2626,"252,363,571","108,516,336","660,000","550,000","1,397",379,"2,677",120,"$                        							9,102,115,350"
Israel,15,0.2707,"9,402,617","3,949,099","169,500","465,000",597,127,"1,300",82,"$                        							34,600,000,000"
Iran,16,0.3199,"88,386,937","49,496,685","610,000","350,000",551,129,"2,675",109,"$                        							9,230,000,000"
Australia,17,0.3208,"26,768,598","11,242,811","58,910","33,270",348,72,46,45,"$                        							57,350,000,000"
Spain,18,0.3247,"47,280,433","21,748,999","121,802","24,033",440,169,298,175,"$                        							39,000,676,350"
Egypt,19,0.3651,"111,247,248","45,611,372","438,500","479,000","1,088",348,"3,620",149,"$                        							5,193,500,000"
Ukraine,20,0.3691,"35,661,826","18,187,531","900,000","4,000,000",347,140,"1,121",169,"$                        							45,000,000,000"
Poland,21,0.3891,"38,746,310","18,985,692","250,000","350,000",457,224,798,63,"$                        							55,865,141,600"
Taiwan,22,0.3927,"23,595,274","12,269,542","230,000","1,657,000",720,239,"1,090",91,"$                        							31,180,000,000"
Vietnam,23,0.4066,"105,758,975","54,994,667","450,000","5,000,000",265,101,"1,999",116,"$                        							10,200,000,000"
Thailand,24,0.4458,"69,920,998","36,358,919","360,850","200,000",496,258,744,304,"$                        							6,006,660,000"
Saudi Arabia,25,0.4473,"36,544,431","19,003,104","247,000",0,917,264,"1,085",32,"$                        							63,988,055,520"
Sweden,26,0.4834,"10,589,835","4,235,934","25,600","34,000",172,53,110,279,"$                        							15,900,000,000"
Algeria,27,0.4849,"47,022,473","22,570,787","130,000","150,000",620,300,"1,485",111,"$                        							25,000,000,000"
Canada,28,0.5269,"38,794,813","16,681,770","63,500","23,000",354,146,74,67,"$                        							45,824,959,620"
Singapore,29,0.5272,"6,028,459","3,918,498","51,000","252,500",235,75,170,101,"$                        							18,000,000,000"
Greece,30,0.5484,"10,461,091","4,916,713","142,700","221,350",560,285,"1,344",186,"$                        							8,242,150,000"
North Korea,31,0.5933,"26,298,666","9,467,520","1,320,000","560,000",837,205,"4,895",332,"$                        							4,750,000,000"
Argentina,32,0.5983,"46,994,384","20,677,529","108,000","12,370",241,96,362,42,"$                        							993,919,790"
Nigeria,33,0.6097,"236,747,130","125,475,979","230,000",0,159,69,330,152,"$                        							3,900,000,000"
Netherlands,34,0.6142,"17,772,378","7,997,570","44,245","8,510",130,67,18,140,"$                        							31,791,150,000"
Myanmar,35,0.6265,"57,527,139","30,489,384","228,000","19,000",331,86,"1,040",239,"$                        							2,815,031,361"
Mexico,36,0.6401,"130,739,927","61,447,766","387,000","98,653",424,173,0,164,"$                        							9,100,000,000"
Bangladesh,37,0.6517,"168,697,184","82,661,620","204,000",0,212,67,320,121,"$                        							3,340,000,000"
Portugal,38,0.6659,"10,639,726","5,319,863","25,000","23,500",128,36,34,128,"$                        							6,760,000,000"
Norway,39,0.6679,"5,509,733","2,203,893","33,440","20,100",109,34,36,48,"$                        							11,189,483,200"
South Africa,40,0.6843,"60,442,647","27,803,618","68,731","29,350",181,87,248,63,"$                        							2,877,000,000"
Philippines,41,0.6993,"118,277,063","50,859,137","160,000","1,500,000",204,130,18,127,"$                        							6,571,641,011"
Malaysia,42,0.7379,"34,564,810","16,245,461","113,000","51,600",132,45,48,100,"$                        							5,100,000,000"
Colombia,43,0.7551,"49,588,357","24,298,295","429,000","998,000",430,255,0,213,"$                        							15,800,000,000"
Iraq,44,0.8115,"42,083,436","17,675,043","193,000",0,360,183,"1,188",67,"$                        							8,000,000,000"
Denmark,45,0.8198,"5,973,136","2,628,180","21,000","12,000",122,34,44,50,"$                        							14,250,000,000"
Switzerland,46,0.8396,"8,860,574","3,898,653","147,178",0,141,39,134,0,"$                        							8,372,658,426"
