country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,fighter_aircraft,fit_for_service,frigates,helicopter_carriers,major_ports_and_terminals,paramilitary,population_reaching_military_age_annually,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km,Power_Score,Power_Rank,Power_Index_Rank_Gap,Total_Assets,Assets_Per_Capita,Budget_to_GDP_Ratio,Continent,Region,Alliance,Military_Readiness_Index,Budget_per_Soldier,Manpower_Density,Tank_Density,Naval_Strength_per_Coastline,Air_Power_Ratio,Logistics_Strength_Index
Afghanistan,0,0,5202,0,1,5987,0,0,0,290000000,0,0,8826741,0,0,0,80000,842553,54772700000,0,0,34903,0,0,0,0,0,0,652230,9,6,15647405,0,40121552,67,0,0,3,1200,9,144,143,9,2.24E-07,0.005294608,Asia,Asia,Non-NATO,0,inf,0.389999993,0,,inf,0.055353173
Albania,6600,0,1796,0,0,691,19,362,0,558862420,0,0,1292554,0,0,3,500,62142,49592000000,424,2000,3945,135,0,0,0,0,46,28748,19,19,1522479,19,3107100,3,50,0,0,41,6684,135,134,84,2.70E-05,0.011269205,Europe,Europe,NATO,0.006653494,84676.12424,0.49,0.001600111,0.052486188,0.002878788,0.153401976
Algeria,325000,0,26000,42,74,6734,75,998,8,25000000000,0,102,19185169,8,0,17,150000,752360,6.99947E+11,4020,135000,104000,266,224,10,6,5,1485,2381740,608,299,22570787,110,47022473,85,483,87,63,0,327203,18,17,2203,4.68E-05,0.03571699,Africa,Africa,Non-NATO,0.023976854,76923.07692,0.479999999,0.000623494,0.110220441,0.001870769,0.045353397
Angola,107000,0,5500,12,15,5369,29,1600,0,1101360000,0,71,3720206,0,0,21,10000,372021,2.65868E+11,2761,0,26000,113,25,2,0,0,309,1246700,298,116,7440412,31,37202061,106,575,66,31,1300,107638,49,48,638,1.71E-05,0.004142507,Africa,Africa,Non-NATO,0.028761848,10293.08411,0.199999995,0.000247854,0.019375,0.002785047,0.024112457
Argentina,108000,0,21724,11,0,11968,13,4989,6,928897000,3,23,17575900,0,0,37,20000,704916,1.235E+12,17866,0,281290,26,55,13,2,2,342,2780400,239,94,20677529,44,46994384,756,172,71,52,11000,108625,48,47,625,1.33E-05,0.000752143,South America,South America,Non-NATO,0.006144778,8600.898148,0.440000001,0.000123004,0.008819403,0.002212963,0.111550856
Armenia,57500,0,1306,15,20,1570,0,0,0,1700000000,0,4,1366335,0,0,0,5000,44651,57728000000,686,210000,7700,100,145,0,0,0,109,29743,71,36,1666988,0,2976765,11,148,13,3,0,57680,68,67,180,6.05E-05,0.029448448,Unknown,Unknown,Non-NATO,0.19577922,29565.21739,0.559999866,0.003664728,,0.001234783,0.281948694
Australia,57350,0,15648,62,22,0,10,25760,0,55700000000,3,24,9208398,7,2,66,0,294455,1.584E+12,36064,32050,873573,0,0,30,6,6,59,7741220,327,69,11242811,44,26768598,2180,48,98,38,2000,57780,67,66,430,1.61E-05,0.035164141,Oceania,Oceania,Non-NATO,0.009708529,971229.2938,0.419999994,7.62E-06,0.001708075,0.005701831,0.117763996
Austria,16000,0,7322,0,0,2524,0,0,0,5475750000,0,15,3632033,0,0,0,0,98648,5.90354E+11,6123,125600,137039,0,30,0,0,0,56,83871,85,41,4035592,0,8967982,61,0,18,11,358,16141,112,111,141,1.57E-05,0.009275367,Europe,Europe,Non-NATO,0.03898643,342234.375,0.450000011,0.000667692,,0.0053125,1.711199342
Azerbaijan,126400,0,7642,18,16,2468,17,713,0,5000000000,0,12,3908638,0,0,0,15000,159754,2.15896E+11,2944,300000,24981,268,198,0,4,0,497,86600,154,86,5218617,38,10650239,32,650,35,3,0,127089,42,41,689,6.47E-05,0.023159299,Unknown,Unknown,Non-NATO,0.109091709,39556.96203,0.48999999,0.00573903,0.053295933,0.001218354,0.322459584
Bahrain,18400,0,2764,0,34,0,50,161,2,1597200000,0,24,720768,2,0,4,1500,17236,85491000000,0,110000,4122,17,38,0,0,0,150,760,132,80,846120,64,1566888,3,26,40,3,0,18746,109,108,346,0.00022082,0.018682668,Unknown,Unknown,Non-NATO,0.178143314,86804.34783,0.540000306,0.197368421,0.397515528,0.007173913,5.423684211
