Country,pwr_index,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
United States,PwrIndx: 0.0744,"34,19,63,408","15,04,63,900","12,48,16,644","44,45,524","13,28,000","7,99,500",0,"13,043","1,790",889,918,"2,647",647,605,"5,843","1,002","4,640","3,91,963",671,"1,212",641,440,"41,68,037",11,9,70,81,0,26,0,8,"$                        							895,000,000,000","$                        							22,303,546,100,000","$                        							24,662,000,000,000","$                        							773,426,000,000","15,873","17,05,49,000",666,"3,533","293,564                        						
							km","6,586,610                        						
							km","20,879,000                        						
							bbl","20,245,000                        						
							bbl","38,212,000,000                        						
							bbl","1,029,000,000,000                        						
							Cu.M","914,301,000,000                        						
							Cu.M","13,402,000,000,000                        						
							Cu.M","548,849,000                        						
							Cu.M","476,044,000                        						
							mt","248,941,000,000                        						
							Cu.M","9,833,517                        						
							km","19,924                        						
							km","12,002                        						
							km","41,009                        						
							km"
Russia,PwrIndx: 0.0788,"14,08,20,810","6,90,02,197","4,61,89,226","12,67,387","13,20,000","20,00,000","2,50,000","4,292",833,689,456,611,141,19,"1,651",557,"5,750","1,31,527","5,168","8,505","3,005",419,"12,60,447",1,0,63,10,12,83,123,47,"$                        							126,000,000,000","$                        							317,650,500,000","$                        							5,816,000,000,000","$                        							597,217,000,000",904,"7,24,08,000",67,"2,910","85,494                        						
							km","1,283,387                        						
							km","10,727,000                        						
							bbl","3,684,000                        						
							bbl","80,000,000,000                        						
							bbl","617,830,000,000                        						
							Cu.M","472,239,000,000                        						
							Cu.M","47,805,000,000,000                        						
							Cu.M","508,190,000                        						
							Cu.M","310,958,000                        						
							mt","162,166,000,000                        						
							Cu.M","17,098,242                        						
							km","37,653                        						
							km","22,407                        						
							km","102,000                        						
							km"
China,PwrIndx: 0.0788,"1,41,50,43,270","76,41,23,366","62,68,64,169","1,98,10,606","20,35,000","5,10,000","6,25,000","3,309","1,212",371,289,402,112,10,913,281,"6,800","1,44,017","3,490","1,000","2,750",754,"28,57,143",3,4,61,50,47,72,150,36,"$                        							266,850,000,000","$                        							1,218,458,500,000","$                        							31,227,000,000,000","$                        							3,450,000,000,000",531,"77,92,46,000",66,"8,314","150,000                        						
							km","5,200,000                        						
							km","4,984,000                        						
							bbl","15,148,000                        						
							bbl","26,023,000,000                        						
							bbl","225,341,000,000                        						
							Cu.M","366,160,000,000                        						
							Cu.M","6,654,000,000,000                        						
							Cu.M","4,827,000,000                        						
							Cu.M","5,313,000,000                        						
							mt","143,197,000,000                        						
							Cu.M","9,596,960                        						
							km","14,500                        						
							km","22,457                        						
							km","27,700                        						
							km"
India,PwrIndx: 0.1184,"1,40,91,28,296","66,22,90,299","52,27,86,598","2,39,55,181","14,55,550","11,55,000","25,27,000","2,229",513,130,270,351,74,6,899,80,"4,201","1,48,594",100,"3,975",264,293,"5,93,603",2,0,18,13,14,18,135,0,"$                        							75,000,000,000","$                        							371,020,500,000","$                        							13,104,000,000,000","$                        							627,793,000,000",311,"59,37,29,000",56,"1,859","65,554                        						
							km","6,371,847                        						
							km","795,000                        						
							bbl","5,049,000                        						
							bbl","4,605,000,000                        						
							bbl","33,170,000,000                        						
							Cu.M","58,867,000,000                        						
							Cu.M","1,381,000,000,000                        						
							Cu.M","985,671,000                        						
							Cu.M","1,200,000,000                        						
							mt","111,052,000,000                        						
							Cu.M","3,287,263                        						
							km","7,000                        						
							km","13,888                        						
							km","14,500                        						
							km"
South Korea,PwrIndx: 0.1656,"5,20,81,799","2,60,40,900","2,13,53,538","4,16,654","6,00,000","31,00,000","1,20,000","1,592",315,98,41,318,36,4,807,111,"2,236","58,880","3,270","4,400",426,227,"3,44,786",0,2,22,13,17,5,35,14,"$                        							46,300,000,000","$                        							503,519,500,000","$                        							2,615,000,000,000","$                        							420,930,000,000",89,"2,96,11,000",15,"2,149","3,979                        						
							km","100,428                        						
							km","38,000                        						
							bbl","2,452,000                        						
							bbl","0                        						
							bbl","55,127,000                        						
							Cu.M","59,480,000,000                        						
							Cu.M","7,079,000,000                        						
							Cu.M","15,595,000                        						
							Cu.M","136,413,000                        						
							mt","326,000,000                        						
							Cu.M","99,720                        						
							km","2,413                        						
							km","237                        						
							km","1,600                        						
							km"
United Kingdom,PwrIndx: 0.1785,"6,84,59,055","3,14,91,165","2,51,92,932","7,53,050","1,84,860","9,24,000",0,631,113,31,29,203,28,9,266,37,227,"38,200",71,126,29,109,"3,94,043",2,0,9,6,8,0,26,7,"$                        							71,500,540,000","$                        							9,593,749,000,000","$                        							3,700,000,000,000","$                        							177,915,000,000","1,043","3,52,75,000",185,868,"16,390                        						
							km","394,428                        						
							km","753,000                        						
							bbl","1,397,000                        						
							bbl","2,500,000,000                        						
							bbl","37,758,000,000                        						
							Cu.M","70,141,000,000                        						
							Cu.M","180,661,000,000                        						
							Cu.M","1,891,000                        						
							Cu.M","8,568,000                        						
							mt","26,000,000                        						
							Cu.M","243,610                        						
							km","12,429                        						
							km","443                        						
							km","3,200                        						
							km"
France,PwrIndx: 0.1878,"6,83,74,591","3,00,84,820","2,37,94,358","7,52,121","2,00,000","26,000","1,50,000",976,226,0,119,141,44,16,448,68,215,"1,10,932",96,0,9,129,"4,28,765",1,3,9,11,11,0,20,17,"$                        							55,000,000,000","$                        							6,992,104,900,000","$                        							3,764,000,000,000","$                        							240,792,000,000",689,"3,18,25,000",66,553,"27,860                        						
							km","1,053,215                        						
							km","80,000                        						
							bbl","1,554,000                        						
							bbl","61,719,000                        						
							bbl","20,132,000                        						
							Cu.M","37,001,000,000                        						
							Cu.M","7,787,000,000                        						
							Cu.M","2,419,000                        						
							Cu.M","12,985,000                        						
							mt","160,000,000                        						
							Cu.M","643,801                        						
							km","4,853                        						
							km","4,072                        						
							km","8,501                        						
							km"
Japan,PwrIndx: 0.1839,"12,32,01,945","5,29,76,836","4,28,74,277","11,08,818","2,47,150","56,000","25,000","1,443",217,38,55,401,141,10,596,119,521,"31,964",149,480,54,159,"7,69,882",0,4,24,42,6,0,6,22,"$                        							57,000,000,000","$                        							4,679,698,100,000","$                        							5,761,000,000,000","$                        							1,295,000,000,000",279,"6,93,49,000",163,"5,229","27,311                        						
							km","1,218,772                        						
							km","8,000                        						
							bbl","3,289,000                        						
							bbl","44,115,000                        						
							bbl","2,220,000,000                        						
							Cu.M","92,843,000,000                        						
							Cu.M","20,898,000,000                        						
							Cu.M","29,141,000                        						
							Cu.M","216,332,000                        						
							mt","350,000,000                        						
							Cu.M","377,915                        						
							km","29,751                        						
							km","0                        						
							km","1,770                        						
							km"
Turkiye,PwrIndx: 0.1902,"8,41,19,531","4,29,85,080","3,60,87,279","14,30,032","3,55,200","3,78,700","1,50,000","1,083",201,0,84,287,28,7,508,111,"2,238","61,173","1,038","1,707",296,182,"3,25,729",0,1,13,0,17,9,41,11,"$                        							47,000,000,000","$                        							294,441,000,000","$                        							2,936,000,000,000","$                        							140,858,000,000",115,"3,50,71,000",54,"1,170","11,497                        						
							km","67,333                        						
							km","83,000                        						
							bbl","1,077,000                        						
							bbl","366,000,000                        						
							bbl","379,701,000                        						
							Cu.M","2,887,000,000                        						
							Cu.M","3,794,000,000                        						
							Cu.M","88,746,000                        						
							Cu.M","123,976,000                        						
							mt","11,525,000,000                        						
							Cu.M","783,562                        						
							km","7,200                        						
							km","2,816                        						
							km","1,200                        						
							km"
Italy,PwrIndx: 0.2164,"6,09,64,931","2,74,34,219","2,21,91,235","5,48,684","1,65,500","18,500","1,05,000",729,89,67,30,162,23,8,392,37,200,"73,480",64,108,21,196,"3,59,417",2,0,8,3,10,0,19,10,"$                        							30,890,000,000","$                        							2,750,000,000,000","$                        							3,097,000,000,000","$                        							247,396,000,000",636,"2,56,69,000",123,"1,276","18,475                        						
							km","487,700                        						
							km","116,000                        						
							bbl","1,246,000                        						
							bbl","497,934,000                        						
							bbl","3,117,000,000                        						
							Cu.M","68,735,000,000                        						
							Cu.M","45,750,000,000                        						
							Cu.M","1,618,000                        						
							Cu.M","13,127,000                        						
							mt","609,999,000                        						
							Cu.M","301,340                        						
							km","7,600                        						
							km","1,836                        						
							km","2,400                        						
							km"
