country,continent,defense_budget_inr_crore,oil_production_bbl,active_personnel,fighter_aircraft
China,Asia,41.37,4984000.0,2035000,1212
India,Asia,6.6,795000.0,1455550,513
United States,North America,173.3,20879000.0,1328000,1790
Indonesia,Asia,7.18,865000.0,400000,41
Pakistan,Asia,0.84,101000.0,654000,328
Nigeria,Africa,12.79,1541000.0,230000,14
Brazil,South America,35.03,4221000.0,360000,43
Bangladesh,Asia,0.11,13000.0,163000,42
Russia,Europe,89.03,10727000.0,1320000,833
Mexico,North America,17.44,2101000.0,412000,3
Japan,Asia,0.07,8000.0,247150,217
Ethiopia,Africa,0.0,0.0,162000,25
Philippines,Asia,0.08,10000.0,150000,0
Democratic Republic of the Congo,Africa,0.16,19000.0,166580,1
Egypt,Africa,5.54,667000.0,440000,238
Vietnam,Asia,1.55,187000.0,600000,41
Iran,Asia,33.08,3985000.0,610000,188
Turkiye,Asia,0.69,83000.0,355200,201
Germany,Europe,1.09,131000.0,181600,129
Thailand,Asia,3.2,386000.0,360850,72
United Kingdom,Europe,6.25,753000.0,184860,113
France,Europe,0.66,80000.0,200000,226
Tanzania,Africa,0.0,0.0,27000,14
Italy,Europe,0.96,116000.0,165500,89
South Africa,Africa,0.79,95000.0,71235,2
Kenya,Africa,0.0,0.0,50000,17
Myanmar,Asia,0.06,7000.0,150000,58
South Korea,Asia,0.32,38000.0,600000,315
Sudan,Africa,0.56,68000.0,92000,37
Colombia,South America,6.64,800000.0,293200,16
Uganda,Africa,0.0,0.0,45000,6
Spain,Europe,0.39,47000.0,133282,137
Algeria,Africa,11.98,1443000.0,325000,102
Argentina,South America,6.7,807000.0,108000,23
Iraq,Asia,36.83,4437000.0,193000,26
Afghanistan,Asia,0.0,0.0,0,0
Canada,North America,47.24,5692000.0,68000,66
Poland,Europe,0.2,24000.0,202100,59
Morocco,Africa,0.0,25.0,195800,83
Angola,Africa,9.75,1175000.0,107000,71
Saudi Arabia,Asia,92.24,11113000.0,257000,283
Uzbekistan,Asia,0.53,64000.0,48000,58
Ukraine,Europe,0.02,3000.0,900000,70
Ghana,Africa,1.44,174000.0,15500,0
