country,population,total_military_manpower,active_personnel,defense_budget_inr_crore,fighter_aircraft,tanks,submarines,total_serviceable_airports
China,1415043270,1415043270,2035000,41.37,1212,6800,61,531
India,1409128296,1409128296,1455550,6.6,513,4201,18,311
United States,341963408,341963408,1328000,173.3,1790,4640,70,15873
Indonesia,281562465,281562465,400000,7.18,41,331,4,513
Pakistan,252363571,252363571,654000,0.84,328,2627,8,116
Nigeria,236747130,236747130,230000,12.79,14,330,0,47
Brazil,220051512,220051512,360000,35.03,43,294,4,4919
Bangladesh,168697184,168697184,163000,0.11,42,320,2,17
Russia,140820810,140820810,1320000,89.03,833,5750,63,904
Mexico,130739927,130739927,412000,17.44,3,0,0,1485
Japan,123201945,123201945,247150,0.07,217,521,24,279
Ethiopia,118550298,118550298,162000,0.0,25,338,0,57
Philippines,118277063,118277063,150000,0.08,0,10,0,246
Democratic Republic of the Congo,115403027,115403027,166580,0.16,1,105,0,272
Egypt,111247248,111247248,440000,5.54,238,3620,8,73
Vietnam,105758975,105758975,600000,1.55,41,1374,9,42
Iran,88386937,88386937,610000,33.08,188,1713,25,173
Turkiye,84119531,84119531,355200,0.69,201,2238,13,115
Germany,84119100,84119100,181600,1.09,129,296,6,838
Thailand,69920998,69920998,360850,3.2,72,635,0,108
United Kingdom,68459055,68459055,184860,6.25,113,227,9,1043
France,68374591,68374591,200000,0.66,226,215,9,689
Tanzania,67462121,67462121,27000,0.0,14,62,0,206
Italy,60964931,60964931,165500,0.96,89,200,8,636
South Africa,60442647,60442647,71235,0.79,2,252,3,575
Kenya,58246378,58246378,50000,0.0,17,188,0,370
Myanmar,57527139,57527139,150000,0.06,58,445,3,73
South Korea,52081799,52081799,600000,0.32,315,2236,22,89
Sudan,50467278,50467278,92000,0.56,37,224,0,41
Colombia,49588357,49588357,293200,6.64,16,0,4,662
Uganda,49283041,49283041,45000,0.0,6,259,0,39
Spain,47280433,47280433,133282,0.39,137,317,2,363
Algeria,47022473,47022473,325000,11.98,102,1485,6,85
Argentina,46994384,46994384,108000,6.7,23,342,2,756
Iraq,42083436,42083436,193000,36.83,26,1025,0,71
Afghanistan,40121552,40121552,0,0.0,0,0,0,67
Canada,38794813,38794813,68000,47.24,66,74,4,1425
Poland,38746310,38746310,202100,0.2,59,614,1,288
Morocco,37387585,37387585,195800,0.0,83,903,0,49
Angola,37202061,37202061,107000,9.75,71,309,0,106
Saudi Arabia,36544431,36544431,257000,92.24,283,840,0,86
Uzbekistan,36520593,36520593,48000,0.53,58,340,0,74
Ukraine,35661826,35661826,900000,0.02,70,1114,0,148
Ghana,34589092,34589092,15500,1.44,0,0,0,11
Malaysia,34564810,34564810,113000,4.83,26,48,2,102
Mozambique,33350954,33350954,11200,0.0,8,30,0,92
Peru,32600249,32600249,120000,0.98,15,240,4,166
Yemen,32140443,32140443,66700,0.12,27,0,0,36
Venezuela,31250306,31250306,109000,6.32,30,172,1,502
Nepal,31122387,31122387,95000,0.0,0,0,0,51
Cameroon,30966105,30966105,40000,0.45,0,0,0,37
Ivory Coast,29981758,29981758,22000,0.24,0,5,0,29
Madagascar,29452714,29452714,13500,0.0,0,6,0,91
Australia,26768598,26768598,57350,3.2,24,59,6,2180
Niger,26342784,26342784,25000,0.05,0,0,0,26
North Korea,26298666,26298666,1320000,0.0,368,4344,13,83
Syria,23865423,23865423,170000,0.62,104,365,0,39
Taiwan,23595274,23595274,215000,0.01,285,888,4,53
Burkina Faso,23042199,23042199,12000,0.0,0,0,0,49
Mali,21990607,21990607,40000,0.0,9,10,0,30
Sri Lanka,21982608,21982608,346000,0.0,5,44,0,18
Zambia,20799116,20799116,15150,0.0,0,35,0,119
Kazakhstan,20260006,20260006,110000,16.23,63,350,0,132
Chad,19093595,19093595,33250,1.03,0,90,0,42
Senegal,18847519,18847519,17000,0.07,0,0,0,19
Chile,18664652,18664652,80000,0.09,45,386,4,374
Ecuador,18309984,18309984,41250,3.98,0,54,2,310
Guatemala,18255216,18255216,106114,0.05,0,5,0,58
Romania,18148155,18148155,81300,0.56,21,328,0,82
Netherlands,17772378,17772378,41380,0.58,32,18,3,45
Zimbabwe,17150352,17150352,29000,0.01,13,15,0,144
Cambodia,17063669,17063669,221000,0.0,0,644,0,13
Benin,14697052,14697052,4750,0.0,0,0,0,10
Somalia,13017273,13017273,15000,0.0,0,0,0,38
South Sudan,12703714,12703714,185000,1.21,0,30,0,82
Bolivia,12311974,12311974,40000,0.48,0,54,0,200
Tunisia,12048847,12048847,89800,0.29,10,90,0,14
Belgium,11977634,11977634,25000,0.09,43,0,0,49
Jordan,11174024,11174024,100500,0.0,44,1458,0,17
Cuba,10966038,10966038,45500,0.28,11,113,0,123
Czechia,10837890,10837890,28000,0.03,12,43,0,243
Dominican Republic,10815857,10815857,50000,0.0,0,5,0,32
Azerbaijan,10650239,10650239,126400,5.13,12,497,4,32
Portugal,10639726,10639726,24000,0.11,28,34,2,136
Sweden,10589835,10589835,24400,0.09,71,110,4,203
Greece,10461091,10461091,142700,0.04,178,1344,10,81
Tajikistan,10394063,10394063,9500,0.0,0,38,0,19
United Arab Emirates,10032213,10032213,65000,34.41,99,354,0,42
Hungary,9855745,9855745,41600,0.3,12,209,0,109
Honduras,9529188,9529188,52225,0.0,4,11,0,129
Belarus,9501451,9501451,63000,0.25,36,507,0,46
Israel,9402617,9402617,170000,0.12,240,1300,5,37
Sierra Leone,9121049,9121049,13000,0.0,0,0,0,8
Austria,8967982,8967982,16000,0.15,15,56,0,61
Switzerland,8860574,8860574,101584,0.0,43,205,0,62
Laos,7953556,7953556,100000,0.0,0,160,0,18
Paraguay,7522549,7522549,15650,0.02,0,0,0,83
Libya,7361263,7361263,32000,10.33,10,43,0,66
Bulgaria,6782659,6782659,37000,0.03,10,90,0,111
Nicaragua,6676948,6676948,45000,0.0,0,89,0,39
Serbia,6652212,6652212,25000,0.11,11,262,0,43
El Salvador,6628702,6628702,25000,0.0,0,0,0,27
Eritrea,6343956,6343956,120000,0.0,1,65,0,10
Kyrgyzstan,6172101,6172101,23000,0.05,0,215,0,28
Republic of the Congo,6097665,6097665,8500,2.22,2,30,0,56
Singapore,6028459,6028459,51000,0.0,100,170,6,9
Denmark,5973136,5973136,20000,0.52,31,44,0,99
Turkmenistan,5744151,5744151,36500,2.26,24,654,0,23
Central African Republic,5650957,5650957,10000,0.0,0,0,0,43
Finland,5626414,5626414,24000,0.07,54,200,0,98
Slovakia,5563649,5563649,19500,0.06,2,45,0,114
Norway,5509733,5509733,23250,16.77,0,44,6,145
Liberia,5437249,5437249,1500,0.0,0,0,0,99
Lebanon,5364482,5364482,60000,0.0,0,116,0,8
Ireland,5233461,5233461,7765,0.0,0,0,0,100
New Zealand,5161211,5161211,8670,0.1,0,0,0,202
Georgia,4900961,4900961,55000,0.0,0,123,0,19
Panama,4470241,4470241,0,0.0,0,0,0,76
Mauritania,4328040,4328040,31540,0.0,0,25,0,25
Croatia,4150116,4150116,14325,0.09,10,45,0,40
Oman,3901992,3901992,42600,8.76,29,150,0,36
Bosnia and Herzegovina,3798671,3798671,12770,0.0,0,45,0,13
Moldova,3599528,3599528,8500,0.0,0,0,0,11
Uruguay,3425330,3425330,25000,0.0,0,31,0,64
Mongolia,3281676,3281676,35000,0.12,0,420,0,35
Kuwait,3138355,3138355,72000,24.15,43,367,0,6
Albania,3107100,3107100,6600,0.01,0,46,0,3
Armenia,2976765,2976765,57500,0.0,4,109,0,11
Namibia,2803660,2803660,13000,0.0,11,4,0,255
