overall_rank,country,manpower_norm,air_power_norm,land_power_norm,naval_power_norm,logistics_power_norm,energy_power_norm,geographical_power_norm,economic_power_norm,debt_norm,budget_to_gdp_norm,assets_per_capita_norm,is_nato,is_eu,is_brics,overall_power_index,power_rank_gap
1,United States,0.19933516168240173,1.0,1.0,1.0,1.0,0.31815495552554857,0.5739443029444097,0.7534948035545113,0.983072623074356,0.22280128156777385,0.07358994700713392,1,0,0,0.6370898271801624,0
2,China,1.0,0.2519354367513877,0.3960067848078431,0.6856651574766317,0.7766260797078829,0.15110242119274503,0.5597594410572886,1.0,0.9992696609558386,0.052463817256969164,0.014377467667632222,0,0,1,0.48872062668742194,1
3,Russia,0.08488791686290194,0.33775197195442597,0.38572935431579425,0.30254286606654096,0.1989439217094579,1.0,1.0,0.18713288848953896,0.9989777215977612,0.1330053437558266,0.08465568536814455,0,0,1,0.4526494781630853,2
4,India,0.8586965949185413,0.16622845457201285,0.3936942376737229,0.1425141087758673,0.9332460031135121,0.03237582513219514,0.19250248344438006,0.3951218549723342,0.9994700461372203,0.03513826563698687,0.009899602547471145,0,0,1,0.376376562195191,3
5,Qatar,0.0008683597348463879,0.01920829681565878,0.013020918153870823,5.3734009934075085e-05,0.001039962923061004,0.4898877400339133,0.0007089099599763666,0.010472168195685999,0.9885231090605886,0.1898739314837506,1.0,0,0,0,0.27031849621756,4
6,Iran,0.06621983429823261,0.040425065731814196,0.17918356813746,0.05362822110201738,0.033785027374386364,0.7062749200516455,0.09602259566489625,0.04510218574376229,0.999946253611176,0.06587019276309558,0.060746829614997395,0,0,1,0.23021025083497215,5
7,Brazil,0.14521391822505003,0.03841659363131756,0.058420001653609,0.03258583888144982,0.2950187573022759,0.008907059065101095,0.4976393808173229,0.12583584630543315,0.9979855373752348,0.039987306536853444,0.015282701109007216,0,0,1,0.21294570945972216,6
8,Canada,0.021718741115539744,0.026438796377446686,0.05456408611795243,0.028726105757167372,0.15212022875706172,0.05214039507726513,0.5907358399638662,0.06858201565478987,0.9804515430335432,0.11247259546732269,0.04975378048774486,1,0,0,0.206912211215491,7
9,Paraguay,0.004870474659442839,0.0028483786152497807,0.0028386954528257925,3.238433634419704e-05,0.011453649623506177,1.2210492141741e-09,0.024015049099372653,0.003877748081001918,0.9975100616494104,1.0,0.016451240148033494,0,0,0,0.20600199348052342,8
10,Australia,0.014735172169625284,0.024685947998831434,0.03947365124383968,0.044551971102617084,0.1322397781180555,0.07296214733583258,0.450106840540797,0.04868895557662143,0.9594988951096723,0.21588524488993371,0.06729934497589196,0,0,0,0.20214389934850968,9
11,Saudi Arabia,0.02652082173045227,0.0682150160677768,0.052614831870557495,0.011943103359766947,0.03294331825271157,0.20198911387985555,0.12494578600073163,0.06764203784679067,0.9976937093340784,0.2506708831467904,0.060339714494299194,0,0,0,0.18278762981370203,10
12,Ukraine,0.023700026915952983,0.02574496056091148,0.054083036226564477,0.00677984072663734,0.027826689077461875,0.024021425477534507,0.0355489144975563,0.01872136938110126,0.9955879067823854,0.5887405329135567,0.024215138591964516,0,0,0,0.18062484717705254,11
