Rank,Country_Full_Name,Country_Short_Name,Value
1,United States,USA,"1,790"
2,China,CHN,"1,212"
3,Russia,RUS,833
4,India,IND,513
5,North Korea,NKO,368
6,Pakistan,PAK,328
7,South Korea,SKO,315
8,Taiwan,TWN,285
9,Saudi Arabia,SAR,283
10,Israel,ISR,240
11,Egypt,EGY,238
12,France,FRA,226
13,Japan,JPN,217
14,Turkiye,TKY,201
15,Iran,IRN,188
16,Greece,GRE,178
17,Spain,SPN,137
18,Germany,GER,129
19,United Kingdom,UKD,113
20,Syria,SYR,104
21,Algeria,ALG,102
22,Qatar,QTR,102
23,Singapore,SNG,100
24,United Arab Emirates,UAE,99
25,Italy,ITA,89
26,Morocco,MOR,83
27,Thailand,THL,72
28,Angola,ANG,71
29,Sweden,SWE,71
30,Ukraine,UKR,70
31,Canada,CAN,66
32,Kazakhstan,KAZ,63
33,Poland,POL,59
34,Myanmar,MYA,58
35,Uzbekistan,UZB,58
36,Finland,FIN,54
37,Chile,CHI,45
38,Jordan,JOR,44
39,Belgium,BEL,43
40,Brazil,BRA,43
41,Kuwait,KUW,43
42,Switzerland,SWZ,43
43,Bangladesh,BNG,42
44,Indonesia,INO,41
45,Vietnam,VET,41
46,Sudan,SDN,37
47,Belarus,BLR,36
48,Netherlands,NTH,32
49,Denmark,DEN,31
50,Venezuela,VEN,30
51,Oman,OMA,29
52,Portugal,POR,28
53,Yemen,YEM,27
54,Iraq,IRQ,26
55,Malaysia,MLY,26
56,Ethiopia,ETH,25
57,Australia,AUS,24
58,Bahrain,BAH,24
59,Turkmenistan,TKM,24
60,Argentina,ARG,23
61,Romania,ROM,21
62,Kenya,KEN,17
63,Colombia,COL,16
64,Austria,AST,15
65,Peru,PER,15
66,Nigeria,NGA,14
67,Tanzania,TNZ,14
68,Zimbabwe,ZIM,13
69,Azerbaijan,AZR,12
70,Czechia,CZC,12
71,Hungary,HUN,12
72,Botswana,BOT,11
73,Cuba,CUB,11
74,Namibia,NAM,11
75,Serbia,SRB,11
76,Bulgaria,BUL,10
77,Croatia,CRO,10
78,Libya,LBY,10
79,Tunisia,TUN,10
80,Mali,MAL,9
81,Mozambique,MOZ,8
82,Gabon,GAB,6
83,Uganda,UGA,6
84,Sri Lanka,SRL,5
85,Armenia,ARM,4
86,Honduras,HON,4
87,Mexico,MEX,3
88,Republic of the Congo,ROC,2
89,Slovakia,SLK,2
90,South Africa,SAF,2
91,Democratic Republic of the Congo,DRC,1
92,Eritrea,ERI,1
93,Afghanistan,AFG,0
94,Albania,ALB,0
95,Beliz,BLZ,0
96,Benin,BEN,0
97,Bhutan,BUT,0
98,Bolivia,BOL,0
99,Bosnia and Herzegovina,BOS,0
100,Burkina Faso,BKF,0
101,Cambodia,CMB,0
102,Cameroon,CAM,0
103,Central African Republic,CAR,0
104,Chad,CHD,0
105,Dominican Republic,DOM,0
106,Ecuador,ECU,0
107,El Salvador,ESL,0
108,Estonia,EST,0
109,Georgia,GEO,0
110,Ghana,GHA,0
111,Guatemala,GUA,0
112,Iceland,ICE,0
113,Ireland,IRE,0
114,Ivory Coast,IVC,0
115,Kosovo,KOS,0
116,Kyrgyzstan,KYR,0
117,Laos,LAO,0
118,Latvia,LAT,0
119,Lebanon,LEB,0
120,Liberia,LIB,0
121,Lithuania,LIT,0
122,Luxembourg,LUX,0
123,Madagascar,MAD,0
124,Mauritania,MAU,0
125,Moldova,MOL,0
126,Mongolia,MGL,0
127,Montenegro,MTN,0
128,Nepal,NEP,0
129,New Zealand,NWZ,0
130,Nicaragua,NIC,0
131,Niger,NGR,0
132,North Macedonia,MAC,0
133,Norway,NOR,0
134,Panama,PAN,0
135,Paraguay,PAR,0
136,Philippines,PHL,0
137,Senegal,SEN,0
138,Sierra Leone,SLE,0
139,Slovenia,SLN,0
140,Somalia,SOM,0
141,South Sudan,SSD,0
142,Suriname,SRN,0
143,Tajikistan,TJK,0
144,Uruguay,URU,0
145,Zambia,ZAM,0
