country,continent,region,is_nato,overall_rank,kpi_name,kpi_value
China,Asia,Asia,0,2,assets_per_capita,0.000110098
India,Asia,Asia,0,4,assets_per_capita,0.00011086
United States,North America,Americas,1,1,assets_per_capita,0.001216297
Indonesia,Other,Other,0,10,assets_per_capita,7.73E-05
Pakistan,Other,Other,0,17,assets_per_capita,8.73E-05
Nigeria,Other,Other,0,40,assets_per_capita,4.08E-05
Brazil,Other,Other,0,29,assets_per_capita,0.000106911
Bangladesh,Other,Other,0,6,assets_per_capita,7.29E-05
Russia,Europe,Europe,0,3,assets_per_capita,0.001020013
Mexico,Other,Other,0,25,assets_per_capita,0.00015631
Japan,Asia,Asia,0,8,assets_per_capita,0.000281513
Ethiopia,Other,Other,0,93,assets_per_capita,6.52E-05
Philippines,Other,Other,0,28,assets_per_capita,0.000104204
Democratic Republic of the Congo,Other,Other,0,88,assets_per_capita,9.66E-06
Egypt,Other,Other,0,16,assets_per_capita,0.000415498
Vietnam,Other,Other,0,7,assets_per_capita,0.000129946
Iran,Other,Other,0,18,assets_per_capita,0.00077301
Turkiye,Other,Other,0,12,assets_per_capita,0.000774897
Germany,Europe,Europe,1,24,assets_per_capita,0.001004647
Thailand,Other,Other,0,15,assets_per_capita,0.000266215
United Kingdom,Europe,Europe,1,22,assets_per_capita,0.000576009
France,Europe,Europe,1,13,assets_per_capita,0.001648273
Tanzania,Other,Other,0,104,assets_per_capita,1.77E-05
Italy,Other,Other,1,14,assets_per_capita,0.001230166
South Africa,Other,Other,0,50,assets_per_capita,0.000318682
Kenya,Other,Other,0,83,assets_per_capita,7.86E-05
Myanmar,Other,Other,0,31,assets_per_capita,0.000122673
South Korea,Other,Other,0,5,assets_per_capita,0.001223882
Sudan,Other,Other,0,89,assets_per_capita,6.66E-05
Colombia,Other,Other,0,26,assets_per_capita,8.84E-05
Uganda,Other,Other,0,115,assets_per_capita,8.53E-05
Spain,Other,Other,1,35,assets_per_capita,0.000395703
Algeria,Other,Other,0,32,assets_per_capita,0.000606136
Argentina,Other,Other,0,52,assets_per_capita,0.000477568
Iraq,Other,Other,0,38,assets_per_capita,0.000925994
Afghanistan,Other,Other,0,111,assets_per_capita,0.00013003
Canada,North America,Americas,1,45,assets_per_capita,0.000576031
Poland,Other,Other,1,37,assets_per_capita,0.000632551
Morocco,Other,Other,0,41,assets_per_capita,0.000246847
Angola,Other,Other,0,69,assets_per_capita,0.000168109
Saudi Arabia,Other,Other,0,34,assets_per_capita,0.000577188
Uzbekistan,Other,Other,0,101,assets_per_capita,9.87E-05
Ukraine,Other,Other,0,19,assets_per_capita,0.000577172
Ghana,Other,Other,0,98,assets_per_capita,5.44E-05
Malaysia,Other,Other,0,44,assets_per_capita,0.000400234
Mozambique,Other,Other,0,95,assets_per_capita,2.89E-05
Peru,Other,Other,0,46,assets_per_capita,0.000222023
Yemen,Other,Other,0,85,assets_per_capita,2.17E-05
Venezuela,Other,Other,0,58,assets_per_capita,0.000298397
Nepal,Other,Other,0,116,assets_per_capita,3.64E-05
Cameroon,Other,Other,0,74,assets_per_capita,1.73E-05
Ivory Coast,Other,Other,0,127,assets_per_capita,2.31E-05
Madagascar,Other,Other,0,128,assets_per_capita,6.11E-06
Australia,Oceania,Oceania,0,51,assets_per_capita,0.000603207
Niger,Other,Other,0,137,assets_per_capita,1.88E-05
North Korea,Other,Other,0,11,assets_per_capita,0.000908981
Syria,Other,Other,0,65,assets_per_capita,0.000495445
Taiwan,Other,Other,0,9,assets_per_capita,0.000928279
Burkina Faso,Other,Other,0,139,assets_per_capita,2.32E-05
Mali,Other,Other,0,132,assets_per_capita,2.88E-05
Sri Lanka,Other,Other,0,27,assets_per_capita,0.000165767
Zambia,Other,Other,0,135,assets_per_capita,2.73E-05
Kazakhstan,Other,Other,0,64,assets_per_capita,0.000413376
Chad,Other,Other,0,121,assets_per_capita,0.000181317
Senegal,Other,Other,0,124,assets_per_capita,9.57E-05
Chile,Other,Other,0,42,assets_per_capita,0.000520342
Ecuador,Other,Other,0,72,assets_per_capita,0.000296887
Guatemala,Other,Other,0,77,assets_per_capita,4.25E-05
Romania,Other,Other,1,67,assets_per_capita,0.000624141
Netherlands,Other,Other,1,60,assets_per_capita,0.000169927
Zimbabwe,Other,Other,0,123,assets_per_capita,5.63E-05
Cambodia,Other,Other,0,75,assets_per_capita,0.000254166
Benin,Other,Other,0,141,assets_per_capita,7.08E-06
