global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
1,United States,799500,1002,5843,13043,1790,918,391963,4640,12002,476044000,548849000.0,19924,22303546100000,170549000,15873,124816644,0,4445524,1029000000000.0,11,4168037.0,0,9,8,440,70,20245000,20879000,248941000000.0,13402000000000.0,38212000000,24662000000000,293564,773426000000,6586610,341963408,41009
2,China,510000,281,913,3309,1212,289,144017,6800,22457,5313000000,4827000000.0,14500,1218458500000,779246000,531,626864169,625000,19810606,225341000000.0,3,2857143.0,47,4,36,754,61,15148000,4984000,143197000000.0,6654000000000.0,26023000000,31227000000000,150000,3450000000000,5200000,1415043270,27700
3,Russia,2000000,557,1651,4292,833,456,131527,5750,22407,310958000,508190000.0,37653,317650500000,72408000,904,46189226,250000,1267387,617830000000.0,1,1260447.0,12,0,47,419,63,3684000,10727000,162166000000.0,47805000000000.0,80000000000,5816000000000,85494,597217000000,1283387,140820810,102000
4,India,1155000,80,899,2229,513,270,148594,4201,13888,1200000000,985671000.0,7000,371020500000,593729000,311,522786598,2527000,23955181,33170000000.0,2,593603.0,14,0,0,293,18,5049000,795000,111052000000.0,1381000000000.0,4605000000,13104000000000,65554,627793000000,6371847,1409128296,14500
5,Japan,56000,119,596,1443,217,55,31964,521,0,216332000,29141000.0,29751,4679698100000,69349000,279,42874277,25000,1108818,2220000000.0,0,769882.0,6,4,22,159,24,3289000,8000,350000000.0,20898000000.0,44115000,5761000000000,27311,1295000000000,1218772,123201945,1770
6,Brazil,340000,0,191,513,43,109,22464,294,16145,32787000,15644000.0,7491,432224000000,108695000,4919,88680759,200000,3520824,22670000000.0,0,135737.0,6,1,3,64,4,3027000,4221000,6596000000.0,363985000000.0,12715000000,4016000000000,29850,355021000000,2000000,220051512,50000
7,Iran,350000,13,128,551,188,87,65825,1713,5894,3531000,2791000.0,2440,4134926000,29159000,173,41541860,220000,1414191,263280000000.0,0,223395.0,7,0,1,107,25,2136000,3985000,1203000000.0,33987000000000.0,208600000000,1440000000000,8484,120600000000,223485,88386937,850
8,South Korea,3100000,111,807,1592,315,41,58880,2236,237,136413000,15595000.0,2413,503519500000,29611000,89,21353538,120000,416654,55127000.0,0,344786.0,17,2,14,227,22,2452000,38000,326000000.0,7079000000.0,0,2615000000000,3979,420930000000,100428,52081799,1600
9,Canada,27000,0,145,351,66,28,21704,74,8893,17138000,43024000.0,202080,2337375700000,22110000,1425,13500595,5500,426743,187686000000.0,0,119637.0,12,0,0,73,4,2454000,5692000,6582000000.0,2067126000000.0,170300000000,2238000000000,4942,117551000000,1042300,38794813,636
10,Indonesia,400000,15,214,459,41,70,20440,331,2958,202283000,659357000.0,54716,440000000000,140931000,513,114595923,250000,4786562,57410000000.0,0,304168.0,7,0,12,331,4,1728000,865000,34869000000.0,1408000000000.0,2480000000,3906000000000,8159,146359000000,496607,281562465,21579
11,France,26000,68,448,976,226,119,110932,215,4072,12985000,2419000.0,4853,6992104900000,31825000,689,23794358,150000,752121,20132000.0,1,428765.0,11,3,17,129,9,1554000,80000,160000000.0,7787000000.0,61719000,3764000000000,27860,240792000000,1053215,68374591,8501
12,Saudi Arabia,0,34,264,917,283,49,19040,840,4272,164000,0.0,2640,225610000000,16934000,86,17468238,150000,621255,121870000000.0,0,49727.0,7,0,3,32,0,3649000,11113000,0.0,9423000000000.0,258600000000,1831000000000,5410,457949000000,221372,36544431,0
13,Vietnam,5000000,0,101,246,41,9,11912,1374,4616,83116000,43614000.0,3444,110000000000,56149000,42,45053323,250000,1797903,7676000000.0,0,107813.0,9,0,8,110,9,494000,187000,3360000000.0,699426000000.0,4400000000,1354000000000,2600,97955500000,195468,105758975,47130
14,Egypt,480000,100,348,1093,238,61,41012,3620,2612,3083000,289000.0,2450,103750000000,33431000,73,38269053,300000,1668709,64817000000.0,0,235989.0,13,2,17,150,8,851000,667000,182000000.0,1784000000000.0,3300000000,1912000000000,5085,33070000000,65050,111247248,3500
15,Turkiye,378700,111,508,1083,201,84,61173,2238,2816,123976000,88746000.0,7200,294441000000,35071000,115,36087279,150000,1430032,379701000.0,0,325729.0,17,1,11,182,13,1077000,83000,11525000000.0,3794000000.0,366000000,2936000000000,11497,140858000000,67333,84119531,1200
16,Germany,34000,54,309,584,129,50,83260,296,3694,186725000,138981000.0,2389,6238609300000,44784000,838,30955829,0,841191,4824000000.0,0,228552.0,11,0,12,61,6,2052000,131000,35900000000.0,23390000000.0,115200000,5230000000000,39379,322700000000,830000,84119100,7300
