Country,Rank,PowerIndex,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Total Tank Strength,Total Naval Assets,Defense Budget
United States,1,0.0744,341963408,150463900,1328000,799500,13043,5843,4640,440,895000000000
Russia,2,0.0788,140820810,69002197,1320000,2000000,4292,1651,5750,419,126000000000
China,3,0.0788,1415043270,764123366,2035000,510000,3309,913,6800,754,266850000000
India,4,0.1184,1409128296,662290299,1455550,1155000,2229,899,4201,293,75000000000
South Korea,5,0.1656,52081799,26040900,600000,3100000,1592,807,2236,227,46300000000
United Kingdom,6,0.1785,68459055,31491165,184860,924000,631,266,227,109,71500540000
France,7,0.1878,68374591,30084820,200000,26000,976,448,215,129,55000000000
Japan,8,0.1839,123201945,52976836,247150,56000,1443,596,521,159,57000000000
Turkiye,9,0.1902,84119531,42985080,355200,378700,1083,508,2238,182,47000000000
Italy,10,0.2164,60964931,27434219,165500,18500,729,392,200,196,30890000000
Brazil,11,0.2415,220051512,112226271,360000,340000,513,191,294,64,26157300000
Pakistan,12,0.2513,252363571,108516336,654000,550000,1399,373,2627,121,7640000000
Indonesia,13,0.2557,281562465,137965608,400000,400000,459,214,331,331,10600000000
Germany,14,0.2601,84119100,38694786,181600,34000,584,309,296,61,50000000000
Israel,15,0.2661,9402617,3949099,170000,465000,611,147,1300,62,30500000000
Iran,16,0.3048,88386937,49496685,610000,350000,551,128,1713,107,15450000000
Spain,17,0.3242,47280433,21748999,133282,15150,461,153,317,152,23397000000
Australia,18,0.3298,26768598,11242811,57350,32050,327,69,59,44,55700000000
Egypt,19,0.3427,111247248,45611372,440000,480000,1093,348,3620,150,5879500000
Ukraine,20,0.3755,35661826,18187531,900000,1200000,324,136,1114,89,53700000000
Poland,21,0.3776,38746310,18985692,202100,350000,479,216,614,62,48700000000
Taiwan,22,0.3988,23595274,12269542,215000,2310000,761,236,888,97,19740000000
Vietnam,23,0.4024,105758975,54994667,600000,5000000,246,101,1374,110,8594000000
Saudi Arabia,24,0.4201,36544431,19003104,257000,0,917,264,840,32,74760000000
Thailand,25,0.4536,69920998,36358919,360850,200000,493,258,635,293,5887883500
Algeria,26,0.3589,47022473,22570787,325000,135000,608,299,1485,110,25000000000
Sweden,27,0.4835,10589835,4235934,24400,32900,169,53,110,308,13000000000
Canada,28,0.5179,38794813,16681770,68000,27000,351,145,74,73,41000000000
Singapore,29,0.5271,6028459,3918498,51000,252500,230,70,170,50,15000000000
Greece,30,0.5337,10461091,4916713,142700,221350,558,293,1344,192,6500000000
Nigeria,31,0.5771,236747130,125475979,230000,0,163,66,330,133,3160000000
Mexico,32,0.5965,130739927,61447766,412000,98655,433,178,0,167,7600000000
Argentina,33,0.6013,46994384,20677529,108000,0,239,94,342,44,928897000
North Korea,34,0.6016,26298666,9467520,1320000,560000,861,205,4344,207,4736000000
Bangladesh,35,0.6062,168697184,82661620,163000,0,214,65,320,118,4374000000
Netherlands,36,0.6412,17772378,7997570,41380,6765,120,63,18,64,27000000000
Myanmar,37,0.6735,57527139,30489384,150000,20000,317,83,445,232,2948000000
Norway,38,0.6811,5509733,2203893,23250,0,97,33,44,43,9710000000
Portugal,39,0.6856,10639726,5319863,24000,211700,115,31,34,194,4627000000
South Africa,40,0.6889,60442647,27803618,71235,29350,182,87,252,49,2266800000
Philippines,41,0.6987,118277063,50859137,150000,1200000,202,122,10,113,4380000000
Malaysia,42,0.7429,34564810,16245461,113000,51600,135,45,48,100,4800000000
Iraq,43,0.7738,42083436,17675043,193000,0,391,197,1025,68,7923000000
Switzerland,44,0.7869,8860574,3898653,101584,49715,146,40,205,0,25039000000
Denmark,45,0.8109,5973136,2628180,20000,12000,117,34,44,50,7225466250
Colombia,46,0.8353,49588357,24298295,293200,35000,436,257,0,233,10541500000
Chile,47,0.8361,18664652,8959033,80000,40000,277,87,386,130,5032500000
Finland,48,0.8437,5626414,2306830,24000,870000,163,27,200,264,6779661000
Peru,49,0.8588,32600249,15648120,120000,385000,256,111,240,71,3420000000
Venezuela,50,0.8882,31250306,15625153,109000,8000,229,88,172,34,4093120000
Romania,51,0.8984,18148155,9437041,81300,55000,140,65,328,20,9700000000
Ethiopia,52,0.9305,118550298,56904143,162000,0,103,33,338,0,2097575000
Czechia,53,0.9994,10837890,5093808,28000,4200,99,42,43,0,6750000000
United Arab Emirates,54,1.0186,10032213,5818684,65000,130000,551,247,354,181,2212360382
Hungary,55,1.0259,9855745,4632200,41600,20000,69,44,209,0,4576000000
Angola,56,1.0961,37202061,7440412,107000,0,298,116,309,31,1101360000
Kazakhstan,57,1.1016,20260006,9117003,110000,135000,198,65,350,26,2048700000
Uzbekistan,58,1.1121,36520593,18990708,48000,0,192,101,340,0,2803500000
Morocco,59,1.1273,37387585,17946041,195800,150000,260,78,903,111,13400000000
Azerbaijan,60,1.2531,10650239,5218617,126400,300000,154,86,497,38,5000000000
Belgium,61,1.2564,11977634,4910830,25000,6400,108,20,0,9,10200000000
Bulgaria,62,1.2563,6782659,3187850,37000,3000,65,27,90,36,1373232000
Serbia,63,1.2576,6652212,3259584,25000,2000,110,46,262,20,2287461000
Syria,64,1.2771,23865423,15273871,170000,50000,207,77,365,27,291850000
Ecuador,65,1.3021,18309984,8422593,41250,118000,102,46,54,30,2376000000
Democratic Republic of the Congo,66,1.3111,115403027,39237029,166580,31000,46,32,105,16,796560000
Cuba,67,1.3286,10966038,5921661,45500,40000,31,13,113,19,4508784000
Austria,68,1.3704,8967982,4035592,16000,125600,85,41,56,0,5475750000
Sri Lanka,69,1.3941,21982608,10551652,346000,90000,85,55,44,270,1265400000
Belarus,70,1.3954,9501451,5035769,63000,145000,185,68,507,0,1077900000
Slovakia,71,1.3978,5563649,2837461,19500,0,41,22,45,0,2656000000
Qatar,72,1.4307,2552088,638022,66550,15000,251,80,99,115,9432000000
Sudan,73,1.4756,50467278,26747657,92000,85000,165,64,224,6,342000000
Croatia,74,1.5074,4150116,2033557,14325,20100,67,37,45,30,1176000000
Jordan,75,1.6139,11174024,3463947,100500,65000,274,155,1458,27,2500000000
Libya,76,1.4449,7361263,3827857,32000,0,143,16,43,5,3060000000
Turkmenistan,77,1.6512,5744151,2768681,36500,0,91,26,654,16,1078020000
Albania,78,1.6815,3107100,1522479,6600,2000,19,19,46,19,558862420
Kuwait,79,1.6982,3138355,1726095,72000,24000,128,67,367,123,6950000000
Bolivia,80,1.7221,12311974,5417269,40000,40000,64,33,54,67,550200000
Bahrain,81,1.7448,1566888,846120,18400,110000,132,80,150,64,1597200000
Oman,82,1.8047,3901992,1482757,42600,100000,128,31,150,22,8200000000
Kenya,83,1.8135,58246378,21551160,50000,0,156,85,188,23,1307383850
Chad,84,1.8712,19093595,6873694,33250,0,40,16,90,0,381350000
Yemen,85,1.8901,32140443,12213368,66700,0,84,30,0,33,810375000
New Zealand,86,1.9039,5161211,2219321,8670,3250,48,21,0,8,3030000000
Paraguay,87,1.9044,7522549,3535598,15650,168500,39,14,0,72,17595000000
Lithuania,88,1.9075,2628186,1708321,23000,104000,9,4,0,14,2388900000
Mozambique,89,1.9265,33350954,14674420,11200,0,22,8,30,33,412400000
Tunisia,90,1.9538,12048847,6024424,89800,0,154,101,90,58,1400000000
Armenia,91,2.0373,2976765,1666988,57500,210000,71,36,109,0,1700000000
Tanzania,92,2.0416,67462121,12143182,27000,80000,39,12,62,12,1406745334
Cameroon,93,2.0501,30966105,10528476,40000,0,35,21,0,51,554952283
Georgia,94,2.0695,4900961,2744538,55000,152500,61,44,123,19,495629055
Cambodia,95,2.0752,17063669,8190561,221000,0,25,21,644,20,860000000
Slovenia,96,2.1016,2097893,1006989,7300,26000,39,16,54,2,886860000
Ireland,97,2.1103,5233461,2407392,7765,1700,22,8,0,8,1500000000
Mongolia,98,2.1135,3281676,1870555,35000,135000,7,2,420,0,165110000
Latvia,99,2.1246,1801246,810561,17250,36000,7,7,0,18,1138000000
Uruguay,100,2.1385,3425330,1575652,25000,0,43,12,31,14,772400000
Honduras,101,2.1679,9529188,4192843,52225,60000,40,8,11,98,413635000
Ivory Coast,102,2.1796,29981758,12292521,22000,0,19,10,5,3,669600935
Guatemala,103,2.1956,18255216,7484639,106114,90000,36,21,5,25,408635000
Mali,104,2.2379,21990607,6817088,40000,0,43,10,10,0,650386000
Kyrgyzstan,105,2.2543,6172101,3147772,23000,300000,7,7,215,0,221800000
Laos,106,2.2663,7953556,3499565,100000,30000,33,23,160,36,135000000
Estonia,107,2.2917,1193791,584958,7700,78800,5,3,0,8,1463360000
Tajikistan,108,2.3049,10394063,4781269,9500,600000,25,20,38,0,446000000
Zambia,109,2.3411,20799116,7279691,15150,0,77,32,35,0,394240000
