country,population,total_military_manpower_x,active_personnel,defense_budget_inr_crore,fighter_aircraft,tanks,submarines,total_serviceable_airports,total_military_manpower_y,continent,oil_production_bbl,oil_production_million_bbl
China,1415043270,764123366,2035000,41.37,1212,6800,61,531,764123366.0,Asia,4984000.0,4.984
India,1409128296,662290299,1455550,6.6,513,4201,18,311,662290299.0,Asia,795000.0,0.795
United States,341963408,150463900,1328000,173.3,1790,4640,70,15873,150463900.0,North America,20879000.0,20.879
Indonesia,281562465,137965608,400000,7.18,41,331,4,513,137965608.0,Asia,865000.0,0.865
Pakistan,252363571,108516336,654000,0.84,328,2627,8,116,108516336.0,Asia,101000.0,0.101
Nigeria,236747130,125475979,230000,12.79,14,330,0,47,125475979.0,Africa,1541000.0,1.541
Brazil,220051512,112226271,360000,35.03,43,294,4,4919,112226271.0,South America,4221000.0,4.221
Bangladesh,168697184,82661620,163000,0.11,42,320,2,17,82661620.0,Asia,13000.0,0.013
Russia,140820810,69002197,1320000,89.03,833,5750,63,904,69002197.0,Europe,10727000.0,10.727
Mexico,130739927,61447766,412000,17.44,3,0,0,1485,61447766.0,North America,2101000.0,2.101
Japan,123201945,52976836,247150,0.07,217,521,24,279,52976836.0,Asia,8000.0,0.008
Ethiopia,118550298,56904143,162000,0.0,25,338,0,57,56904143.0,Africa,0.0,0.0
Philippines,118277063,50859137,150000,0.08,0,10,0,246,50859137.0,Asia,10000.0,0.01
Democratic Republic of the Congo,115403027,39237029,166580,0.16,1,105,0,272,39237029.0,Africa,19000.0,0.019
Egypt,111247248,45611372,440000,5.54,238,3620,8,73,45611372.0,Africa,667000.0,0.667
Vietnam,105758975,54994667,600000,1.55,41,1374,9,42,54994667.0,Asia,187000.0,0.187
Iran,88386937,49496685,610000,33.08,188,1713,25,173,49496685.0,Asia,3985000.0,3.985
Turkiye,84119531,42985080,355200,0.69,201,2238,13,115,42985080.0,Asia,83000.0,0.083
Germany,84119100,38694786,181600,1.09,129,296,6,838,38694786.0,Europe,131000.0,0.131
Thailand,69920998,36358919,360850,3.2,72,635,0,108,36358919.0,Asia,386000.0,0.386
United Kingdom,68459055,31491165,184860,6.25,113,227,9,1043,31491165.0,Europe,753000.0,0.753
France,68374591,30084820,200000,0.66,226,215,9,689,30084820.0,Europe,80000.0,0.08
Tanzania,67462121,12143182,27000,0.0,14,62,0,206,12143182.0,Africa,0.0,0.0
Italy,60964931,27434219,165500,0.96,89,200,8,636,27434219.0,Europe,116000.0,0.116
South Africa,60442647,27803618,71235,0.79,2,252,3,575,27803618.0,Africa,95000.0,0.095
Kenya,58246378,21551160,50000,0.0,17,188,0,370,21551160.0,Africa,0.0,0.0
Myanmar,57527139,30489384,150000,0.06,58,445,3,73,30489384.0,Asia,7000.0,0.007
South Korea,52081799,26040900,600000,0.32,315,2236,22,89,26040900.0,Asia,38000.0,0.038
Sudan,50467278,26747657,92000,0.56,37,224,0,41,26747657.0,Africa,68000.0,0.068
Colombia,49588357,24298295,293200,6.64,16,0,4,662,24298295.0,South America,800000.0,0.8
Uganda,49283041,16756234,45000,0.0,6,259,0,39,16756234.0,Africa,0.0,0.0
Spain,47280433,21748999,133282,0.39,137,317,2,363,21748999.0,Europe,47000.0,0.047
Algeria,47022473,22570787,325000,11.98,102,1485,6,85,22570787.0,Africa,1443000.0,1.443
Argentina,46994384,20677529,108000,6.7,23,342,2,756,20677529.0,South America,807000.0,0.807
Iraq,42083436,17675043,193000,36.83,26,1025,0,71,17675043.0,Asia,4437000.0,4.437
Afghanistan,40121552,15647405,0,0.0,0,0,0,67,15647405.0,Asia,0.0,0.0
Canada,38794813,16681770,68000,47.24,66,74,4,1425,16681770.0,North America,5692000.0,5.692
Poland,38746310,18985692,202100,0.2,59,614,1,288,18985692.0,Europe,24000.0,0.024
Morocco,37387585,17946041,195800,0.0,83,903,0,49,17946041.0,Africa,25.0,2.5e-05
Angola,37202061,7440412,107000,9.75,71,309,0,106,7440412.0,Africa,1175000.0,1.175
Saudi Arabia,36544431,19003104,257000,92.24,283,840,0,86,19003104.0,Asia,11113000.0,11.113
Uzbekistan,36520593,18990708,48000,0.53,58,340,0,74,18990708.0,Asia,64000.0,0.064
Ukraine,35661826,18187531,900000,0.02,70,1114,0,148,18187531.0,Europe,3000.0,0.003
Ghana,34589092,14873310,15500,1.44,0,0,0,11,14873310.0,Africa,174000.0,0.174
Malaysia,34564810,16245461,113000,4.83,26,48,2,102,16245461.0,Asia,582000.0,0.582
Mozambique,33350954,14674420,11200,0.0,8,30,0,92,14674420.0,Africa,0.0,0.0
Peru,32600249,15648120,120000,0.98,15,240,4,166,15648120.0,South America,118000.0,0.118
Yemen,32140443,12213368,66700,0.12,27,0,0,36,12213368.0,Asia,15000.0,0.015
Venezuela,31250306,15625153,109000,6.32,30,172,1,502,15625153.0,South America,761000.0,0.761
Nepal,31122387,15249970,95000,0.0,0,0,0,51,15249970.0,Asia,0.0,0.0
Cameroon,30966105,10528476,40000,0.45,0,0,0,37,10528476.0,Africa,54000.0,0.054
Ivory Coast,29981758,12292521,22000,0.24,0,5,0,29,12292521.0,Africa,29000.0,0.029
Madagascar,29452714,11192031,13500,0.0,0,6,0,91,11192031.0,Africa,0.0,0.0
Australia,26768598,11242811,57350,3.2,24,59,6,2180,11242811.0,Oceania,386000.0,0.386
Niger,26342784,7902835,25000,0.05,0,0,0,26,7902835.0,Africa,6000.0,0.006
North Korea,26298666,9467520,1320000,0.0,368,4344,13,83,9467520.0,Asia,0.0,0.0
Syria,23865423,15273871,170000,0.62,104,365,0,39,15273871.0,Asia,75000.0,0.075
Taiwan,23595274,12269542,215000,0.01,285,888,4,53,12269542.0,Asia,800.0,0.0008
Burkina Faso,23042199,8525614,12000,0.0,0,0,0,49,8525614.0,Africa,0.0,0.0
Mali,21990607,6817088,40000,0.0,9,10,0,30,6817088.0,Africa,0.0,0.0
Sri Lanka,21982608,10551652,346000,0.0,5,44,0,18,10551652.0,Asia,0.0,0.0
Zambia,20799116,7279691,15150,0.0,0,35,0,119,7279691.0,Africa,0.0,0.0
Kazakhstan,20260006,9117003,110000,16.23,63,350,0,132,9117003.0,Asia,1955000.0,1.955
Chad,19093595,6873694,33250,1.03,0,90,0,42,6873694.0,Africa,124000.0,0.124
Senegal,18847519,7162057,17000,0.07,0,0,0,19,7162057.0,Africa,9000.0,0.009
Chile,18664652,8959033,80000,0.09,45,386,4,374,8959033.0,South America,11000.0,0.011
Ecuador,18309984,8422593,41250,3.98,0,54,2,310,8422593.0,South America,480000.0,0.48
Guatemala,18255216,7484639,106114,0.05,0,5,0,58,7484639.0,North America,6000.0,0.006
Romania,18148155,9437041,81300,0.56,21,328,0,82,9437041.0,Europe,67000.0,0.067
Netherlands,17772378,7997570,41380,0.58,32,18,3,45,7997570.0,Europe,70000.0,0.07
Zimbabwe,17150352,6517134,29000,0.01,13,15,0,144,6517134.0,Africa,800.0,0.0008
Cambodia,17063669,8190561,221000,0.0,0,644,0,13,8190561.0,Asia,0.0,0.0
Benin,14697052,5584880,4750,0.0,0,0,0,10,5584880.0,Africa,0.0,0.0
Somalia,13017273,2993973,15000,0.0,0,0,0,38,2993973.0,Africa,0.0,0.0
South Sudan,12703714,6351857,185000,1.21,0,30,0,82,6351857.0,Africa,146000.0,0.146
Bolivia,12311974,5417269,40000,0.48,0,54,0,200,5417269.0,South America,58000.0,0.058
Tunisia,12048847,6024424,89800,0.29,10,90,0,14,6024424.0,Africa,35000.0,0.035
Belgium,11977634,4910830,25000,0.09,43,0,0,49,4910830.0,Europe,11000.0,0.011
Jordan,11174024,3463947,100500,0.0,44,1458,0,17,3463947.0,Asia,20.0,2e-05
Cuba,10966038,5921661,45500,0.28,11,113,0,123,5921661.0,North America,34000.0,0.034
Czechia,10837890,5093808,28000,0.03,12,43,0,243,5093808.0,Europe,4000.0,0.004
Dominican Republic,10815857,4975294,50000,0.0,0,5,0,32,4975294.0,North America,0.0,0.0
